Element# βxx' βyy' βzz' 
1.0000000e+00 4.4511122e-01 4.4099834e-01 2.5235216e+00 
2.0000000e+00 4.4511122e-01 4.4099834e-01 2.5235216e+00 
3.0000000e+00 4.4534635e-01 4.4119363e-01 2.5235311e+00 
4.0000000e+00 4.4569386e-01 4.4150233e-01 2.5235739e+00 
5.0000000e+00 4.4615363e-01 4.4192431e-01 2.5236478e+00 
6.0000000e+00 4.4672583e-01 4.4245997e-01 2.5237544e+00 
7.0000000e+00 4.4741042e-01 4.4310875e-01 2.5238925e+00 
8.0000000e+00 4.4820714e-01 4.4387117e-01 2.5240635e+00 
9.0000000e+00 4.4911654e-01 4.4474673e-01 2.5242666e+00 
1.0000000e+01 4.5013819e-01 4.4573577e-01 2.5245019e+00 
1.1000000e+01 4.5127221e-01 4.4683840e-01 2.5247699e+00 
1.2000000e+01 4.5251849e-01 4.4805428e-01 2.5250684e+00 
1.3000000e+01 4.5387723e-01 4.4938358e-01 2.5254008e+00 
1.4000000e+01 4.5534841e-01 4.5082629e-01 2.5257654e+00 
1.5000000e+01 4.5693205e-01 4.5238217e-01 2.5261610e+00 
1.6000000e+01 4.5862792e-01 4.5405178e-01 2.5265906e+00 
1.7000000e+01 4.6043611e-01 4.5583469e-01 2.5270505e+00 
1.8000000e+01 4.6235674e-01 4.5773103e-01 2.5275433e+00 
1.9000000e+01 4.6438970e-01 4.5974070e-01 2.5280683e+00 
2.0000000e+01 4.6653491e-01 4.6186362e-01 2.5286260e+00 
2.1000000e+01 4.6879257e-01 4.6410028e-01 2.5292142e+00 
2.2000000e+01 4.7116268e-01 4.6645016e-01 2.5298364e+00 
2.3000000e+01 4.7364524e-01 4.6891352e-01 2.5304896e+00 
2.4000000e+01 4.7624003e-01 4.7149017e-01 2.5311750e+00 
2.5000000e+01 4.7894710e-01 4.7418017e-01 2.5318921e+00 
2.6000000e+01 4.8176681e-01 4.7698364e-01 2.5326419e+00 
2.7000000e+01 4.8469847e-01 4.7990069e-01 2.5334235e+00 
2.8000000e+01 4.8774274e-01 4.8293096e-01 2.5342366e+00 
2.9000000e+01 4.9089953e-01 4.8607461e-01 2.5350826e+00 
3.0000000e+01 4.9416846e-01 4.8933184e-01 2.5359591e+00 
3.1000000e+01 4.9755001e-01 4.9270233e-01 2.5368697e+00 
3.2000000e+01 5.0104356e-01 4.9618631e-01 2.5378106e+00 
3.3000000e+01 5.0464962e-01 4.9978349e-01 2.5387845e+00 
3.4000000e+01 5.0836817e-01 5.0349414e-01 2.5397895e+00 
3.5000000e+01 5.1219892e-01 5.0731827e-01 2.5408261e+00 
3.6000000e+01 5.1614213e-01 5.1125590e-01 2.5418951e+00 
3.7000000e+01 5.2019783e-01 5.1530679e-01 2.5429951e+00 
3.8000000e+01 5.2436575e-01 5.1947098e-01 2.5441274e+00 
3.9000000e+01 5.2864619e-01 5.2374880e-01 2.5452915e+00 
4.0000000e+01 5.3303892e-01 5.2813977e-01 2.5464873e+00 
4.1000000e+01 5.3754397e-01 5.3264450e-01 2.5477155e+00 
4.2000000e+01 5.4216111e-01 5.3726222e-01 2.5489748e+00 
4.3000000e+01 5.4689095e-01 5.4199359e-01 2.5502658e+00 
4.4000000e+01 5.5173327e-01 5.4683839e-01 2.5515880e+00 
4.5000000e+01 5.5668784e-01 5.5179643e-01 2.5529414e+00 
4.6000000e+01 5.6175472e-01 5.5686807e-01 2.5543266e+00 
4.7000000e+01 5.6693395e-01 5.6205284e-01 2.5557436e+00 
4.8000000e+01 5.7222532e-01 5.6735138e-01 2.5571929e+00 
4.9000000e+01 5.7762945e-01 5.7276291e-01 2.5586723e+00 
5.0000000e+01 5.8314582e-01 5.7828810e-01 2.5601835e+00 
5.1000000e+01 5.8877448e-01 5.8392674e-01 2.5617265e+00 
5.2000000e+01 5.9451546e-01 5.8967858e-01 2.5633008e+00 
5.3000000e+01 6.0036911e-01 5.9554371e-01 2.5649058e+00 
5.4000000e+01 6.0633487e-01 6.0152249e-01 2.5665419e+00 
5.5000000e+01 6.0633487e-01 6.0152249e-01 2.5665419e+00 
5.6000000e+01 6.0935991e-01 6.0455436e-01 2.5673721e+00 
5.7000000e+01 6.0935991e-01 6.0455436e-01 2.5673721e+00 
5.8000000e+01 6.1549417e-01 6.1070325e-01 2.5690556e+00 
5.9000000e+01 6.2174119e-01 6.1696560e-01 2.5707703e+00 
6.0000000e+01 6.2810007e-01 6.2334116e-01 2.5725157e+00 
6.1000000e+01 6.3457172e-01 6.2983023e-01 2.5742918e+00 
6.2000000e+01 6.4115552e-01 6.3643255e-01 2.5760993e+00 
6.3000000e+01 6.4785175e-01 6.4314840e-01 2.5779387e+00 
6.4000000e+01 6.5466038e-01 6.4997780e-01 2.5798077e+00 
6.5000000e+01 6.6158136e-01 6.5692040e-01 2.5817080e+00 
6.6000000e+01 6.6861464e-01 6.6397650e-01 2.5836403e+00 
6.7000000e+01 6.7576015e-01 6.7114572e-01 2.5856022e+00 
6.8000000e+01 6.8301844e-01 6.7842865e-01 2.5875949e+00 
6.9000000e+01 6.9038878e-01 6.8582489e-01 2.5896189e+00 
7.0000000e+01 6.9787137e-01 6.9333469e-01 2.5916733e+00 
7.1000000e+01 7.0546674e-01 7.0095761e-01 2.5937579e+00 
7.2000000e+01 7.1317410e-01 7.0869386e-01 2.5958733e+00 
7.3000000e+01 7.2099395e-01 7.1654396e-01 2.5980196e+00 
7.4000000e+01 7.2892645e-01 7.2450712e-01 2.6001968e+00 
7.5000000e+01 7.3697108e-01 7.3258382e-01 2.6024030e+00 
7.6000000e+01 7.4512797e-01 7.4077389e-01 2.6046408e+00 
7.7000000e+01 7.5339723e-01 7.4907713e-01 2.6069083e+00 
7.8000000e+01 7.6177897e-01 7.5749399e-01 2.6092061e+00 
7.9000000e+01 7.7027294e-01 7.6602424e-01 2.6115343e+00 
8.0000000e+01 7.7887954e-01 7.7466798e-01 2.6138935e+00 
8.1000000e+01 7.8759848e-01 7.8342493e-01 2.6162818e+00 
8.2000000e+01 7.9642948e-01 7.9229550e-01 2.6187005e+00 
8.3000000e+01 8.0537323e-01 8.0127939e-01 2.6211490e+00 
8.4000000e+01 8.1442905e-01 8.1037662e-01 2.6236274e+00 
8.5000000e+01 8.2359728e-01 8.1958719e-01 2.6261355e+00 
8.6000000e+01 8.3287790e-01 8.2891145e-01 2.6286736e+00 
8.7000000e+01 8.4227086e-01 8.3834868e-01 2.6312421e+00 
8.8000000e+01 8.5177646e-01 8.4789953e-01 2.6338398e+00 
8.9000000e+01 8.6139427e-01 8.5756396e-01 2.6364669e+00 
9.0000000e+01 8.7112420e-01 8.6734152e-01 2.6391238e+00 
9.1000000e+01 8.8096687e-01 8.7723249e-01 2.6418113e+00 
9.2000000e+01 8.9092178e-01 8.8723711e-01 2.6445269e+00 
9.3000000e+01 9.0098879e-01 8.9735491e-01 2.6472719e+00 
9.4000000e+01 9.1116849e-01 9.0758609e-01 2.6500475e+00 
9.5000000e+01 9.2146032e-01 9.1793087e-01 2.6528518e+00 
9.6000000e+01 9.3186483e-01 9.2838908e-01 2.6556849e+00 
9.7000000e+01 9.4238145e-01 9.3896050e-01 2.6585487e+00 
9.8000000e+01 9.5301071e-01 9.4964532e-01 2.6614400e+00 
9.9000000e+01 9.6375197e-01 9.6044367e-01 2.6643602e+00 
1.0000000e+02 9.7460574e-01 9.7135530e-01 2.6673111e+00 
1.0100000e+02 9.8557212e-01 9.8238034e-01 2.6702890e+00 
1.0200000e+02 9.9665044e-01 9.9351850e-01 2.6732970e+00 
1.0300000e+02 1.0078416e+00 1.0047706e+00 2.6763334e+00 
1.0400000e+02 1.0191447e+00 1.0161357e+00 2.6793986e+00 
1.0500000e+02 1.0305604e+00 1.0276144e+00 2.6824922e+00 
1.0600000e+02 1.0420882e+00 1.0392066e+00 2.6856153e+00 
1.0700000e+02 1.0537286e+00 1.0509121e+00 2.6887668e+00 
1.0800000e+02 1.0654816e+00 1.0627311e+00 2.6919461e+00 
1.0900000e+02 1.0773467e+00 1.0746630e+00 2.6951538e+00 
1.1000000e+02 1.0893239e+00 1.0867088e+00 2.6983911e+00 
1.1100000e+02 1.1014141e+00 1.0988679e+00 2.7016550e+00 
1.1200000e+02 1.1136162e+00 1.1111404e+00 2.7049480e+00 
1.1300000e+02 1.1259307e+00 1.1235261e+00 2.7082688e+00 
1.1400000e+02 1.1383575e+00 1.1360255e+00 2.7116168e+00 
1.1500000e+02 1.1508970e+00 1.1486383e+00 2.7149946e+00 
1.1600000e+02 1.1635489e+00 1.1613646e+00 2.7183997e+00 
1.1700000e+02 1.1763127e+00 1.1742037e+00 2.7218320e+00 
1.1800000e+02 1.1891892e+00 1.1871568e+00 2.7252918e+00 
1.1900000e+02 1.2021778e+00 1.2002229e+00 2.7287807e+00 
1.2000000e+02 1.2152792e+00 1.2134028e+00 2.7322963e+00 
1.2100000e+02 1.2284927e+00 1.2266957e+00 2.7358393e+00 
1.2200000e+02 1.2418186e+00 1.2401025e+00 2.7394115e+00 
1.2300000e+02 1.2552567e+00 1.2536224e+00 2.7430100e+00 
1.2400000e+02 1.2688076e+00 1.2672556e+00 2.7466358e+00 
1.2500000e+02 1.2756250e+00 1.2741147e+00 2.7484576e+00 
1.2600000e+02 1.2756250e+00 1.2741147e+00 2.7484576e+00 
1.2700000e+02 1.2756250e+00 1.2741147e+00 2.7484576e+00 
1.2800000e+02 1.2756250e+00 1.2741147e+00 2.7484576e+00 
1.2900000e+02 1.3132081e+00 1.2755620e+00 6.1299016e+00 
1.3000000e+02 1.3132081e+00 1.2755620e+00 6.1299016e+00 
1.3100000e+02 1.3132081e+00 1.2755620e+00 6.1299016e+00 
