element,z_out_local [m],s_TraceWin [m],rms_x [mm],rms_y [mm],sigma_xp [mrad],sigma_yp [mrad],beta_x [m/rad],beta_y [m/rad],alpha_x,alpha_y,E [MeV],P [MeV/c],Transmission [%]
DRIFT3,0.208,1.436,4.527941379583334,5.955988933233334,7.979391000000001,5.846023,0.7669734,1.32762,0.9094658407172114,0.8363546010367771,0.18262932044839483,63.88856187426515,100.0
DRIFTCHOP,0.358,1.5859999999999999,3.8280542194519454,5.435606330343035,7.979391000000001,5.8460220000000005,0.5481943636363638,1.1057619090909092,0.5510198672911635,0.6437758968290882,0.18262932044839483,63.88856187426515,100.0
DRIFT4,0.498,1.726,3.432301885125,5.03989964395,7.979392,5.8460220000000005,0.4407064,0.9506258,0.21869672334529858,0.46526891933012876,0.18262932044839483,63.88856187426515,100.0
DRIFT5,1.22,2.448,6.048874115396307,5.029208390805816,7.9793899999999995,5.8460220000000005,1.368765,0.9465977,-1.5009961415938833,-0.4566384281996809,0.18262932044839483,63.88856187426515,100.0
COLLX,1.224,2.452,5.393236247584759,5.015890119921992,7.395505,5.8110990000000005,1.0881216666666667,0.9415901,-1.1868113689776667,-0.5004215318687544,0.18262932044839483,63.88856187426515,94.908441
DRIFTCOL,1.226,2.4539999999999997,5.405007897769776,5.021233308760876,7.395505,5.8110990000000005,1.0928778181818175,0.9435977727272724,-1.1908385619757373,-0.5029282681229016,0.18262932044839483,63.88856187426515,94.908441
COLLY,1.228,2.456,5.416794722123894,5.026598368141593,7.395505,5.8111,1.09765,0.9456152,-1.194381527902011,-0.5048667668548387,0.18262932044839483,63.88856187426515,94.908441
DRIFT6,1.422,2.65,6.638346943362833,5.619691165486725,10.124640000000001,4.715115,1.64854,1.181928,-2.3078689861984483,-0.23430471712083048,0.18262932044839483,63.88856187426515,94.908441
QUAD1,1.5619999999999998,2.79,10.395979678799993,4.051787308830003,43.00474,21.26325,4.043335,0.6144686,-16.701542032038724,3.0750141460284595,0.18262932044839483,63.88856187426515,94.908441
DRIFT7,1.6540000000000001,2.882,14.28335988799441,2.2750490544627175,33.50038,19.886290000000002,7.632052,0.1937124,-18.135590415518795,1.3982345800646285,0.18262932044839483,63.88856187426515,94.908441
QUAD2,1.794,3.0220000000000002,11.912054798624993,2.0208165616375013,57.010999999999996,17.63546,5.308715999999979,0.15285600000000077,25.391094792250918,-0.9181590882753781,0.18262932044839483,63.88856187426515,94.908441
DRIFT8,1.8860000000000001,3.114,6.712923900884956,3.3317536663716814,51.29961,15.34783,1.685827,0.4154482,12.918929773091774,-1.6652552401075345,0.18262932044839483,63.88856187426515,94.908441
QUAD3,2.026,3.2539999999999996,2.42509607161359,3.2396356145607346,19.638849999999998,14.37013,0.22001170000000142,0.39278990000000136,1.5376663988816142,1.4495029228028218,0.18262932044839483,63.88856187426515,94.908441
DRIFT9,2.9360999999999997,4.1640999999999995,16.325333809928498,9.674971684347362,15.589890000000285,10.491230000000247,9.970263999999942,3.5032380000000343,-32.08107049265033,18.599874648473477,0.18262932044839483,63.88856187426515,94.89568
SOL1,3.1935000000000002,4.4215,8.492067340252378,6.3830884015519285,56.52587,45.05667,2.698332,1.52521,17.900147253912806,10.757075964702576,0.18262932044839483,63.88856187426515,94.831876
DRIFT10,3.3324999999999996,4.560499999999999,0.9314963627267702,0.29962933344034337,56.52588,45.05667,0.03277943000000239,0.0034379760000003813,1.3067405339936138,0.21024783471926145,0.18262932044839483,63.88856187426515,94.831876
