element,s_start [m],L [m],s_out [m],rms_x [mm],rms_y [mm],sigma_xp [mrad],sigma_yp [mrad],beta_x [m/rad],beta_y [m/rad],alpha_x,alpha_y,E [MeV],P [MeV/c],Transmission [%]
DRIFT1,0.0,0.26,0.26,4.026210840124801,4.0091443403632,7.751316999999999,7.784827,0.6064174,0.6015465,-0.6012350304633313,-0.6025111879549316,0.18262932044839483,63.88856187426515,100.0
COLL0,0.26,0.0025,0.2625,4.036242040530038,4.019235140776237,7.751316999999999,7.784828,0.6094428,0.6045785,-0.6089157892398092,-0.6102563606545794,0.18262932044839483,63.88856187426515,100.0
DRIFT2,0.2625,0.3375,0.6000000000000001,5.8398507749883,5.834853474183498,7.7513150000001145,7.784825999999944,1.2757990000000006,1.274166,-2.166706143962077,-0.7449765657882365,0.18262932044839483,63.88856187426515,100.0
DIPOLE,0.6000000000000001,0.628318,1.2283180000000002,5.773141047443218,6.79853196022154,7.980357333333045,5.845836166666722,1.246819666666665,1.7298008333333337,2.2056660036500944,0.22158752230616707,0.18262932044839483,63.88856187426515,100.0
DRIFT3,1.2283180000000002,0.208,1.4363180000000002,4.526233984583333,5.954795776033333,7.979392,5.846023,0.7663955333333329,1.3270885833333328,0.9077567141417549,0.8353611769071975,0.18262932044839483,63.88856187426515,100.0
DRIFTCHOP,1.4363180000000002,0.15,1.5863180000000001,3.8268306238923886,5.43459998230823,7.979391000000001,5.846023,0.5478437999999998,1.1053519999999997,0.5495361247461202,0.6430109182858655,0.18262932044839483,63.88856187426515,100.0
DRIFT4,1.5863180000000001,0.14,1.726318,3.431760251625,5.03911523335,7.979393,5.8460220000000005,0.4405672,0.9503296,0.21707066991150076,0.46443642355028913,0.18262932044839483,63.88856187426515,100.0
DRIFT5,1.726318,0.722,2.448318,6.050983483383668,5.029979886955738,7.9793899999999995,5.8460220000000005,1.369718,0.946888,55.43888018444145,1.6312463289092007,0.18262932044839483,63.88856187426515,100.0
COLLX,2.448318,0.002,2.4503179999999998,5.385469702619998,5.011340316579999,7.396705083333333,5.811940416666666,1.084989083333333,0.9398824249999999,-0.9017856498125569,-0.5194636127193759,0.18262932044839483,63.88856187426515,94.9275851905
DRIFTCOL,2.4503179999999998,0.002,2.4523179999999996,5.395106847044703,5.016737833693369,7.395505,5.8110990000000005,1.088877999999999,0.9419088999999996,-1.1874160058137362,-0.5009036976816007,0.18262932044839483,63.88856187426515,94.908441
COLLY,2.4523179999999996,0.002,2.4543179999999993,5.406880755255522,5.0220843618661855,7.395505,5.8110990000000005,1.0936337499999986,0.9439168749999994,-1.1917118701966158,-0.5036975057478671,0.18262932044839483,63.88856187426515,94.908441
DRIFT6,2.4543179999999993,0.194,2.6483179999999993,6.622715777096141,5.617817158437078,9.776566999999885,4.789507500000032,1.6407798333333308,1.181139333333333,-2.2467882161239467,-0.2731665315893969,0.18262932044839483,63.88856187426515,94.908441
QUAD1,2.6483179999999993,0.14,2.7883179999999994,10.323751237438094,4.0858924888405745,43.004720000000006,21.26325,3.987058916666648,0.6248003416666702,-16.583450443599112,3.1035722262790437,0.18262932044839483,63.88856187426515,94.908441
DRIFT7,2.7883179999999994,0.092,2.8803179999999995,14.22627079136042,2.302670254777267,34.68799500000039,20.043200833333387,7.571115416666646,0.19844105833333497,-18.44173406546415,1.4298499496580468,0.18262932044839483,63.88856187426515,94.908441
QUAD2,2.8803179999999995,0.14,3.0203179999999996,12.007885488962254,2.0003998982774505,57.010999999999996,17.63546,5.394034916666694,0.14976054166666575,25.59410147767249,-0.8961622232465026,0.18262932044839483,63.88856187426515,94.908441
DRIFT8,3.0203179999999996,0.092,3.1123179999999997,6.7994512253187605,3.3092907454427207,51.969353333333395,15.633350000000025,1.7295344166666704,0.4098587999999995,13.188311737733725,-1.676024159841681,0.18262932044839483,63.88856187426515,94.908441
QUAD3,3.1123179999999997,0.14,3.252318,2.4536044159292096,3.25974419568022,19.638849999999998,14.37014,0.22521108333333376,0.3976802833333338,1.5593147657144342,1.4608202108592188,0.18262932044839483,63.88856187426515,94.908441
DRIFT9,3.252318,0.9101,4.162418,16.236978979548965,9.761372055802802,16.11027,10.94207,9.862572,3.566036,-31.914262832151273,18.7208850136222,0.18262932044839483,63.88856187426515,94.89568159525
SOL1,4.162418,0.2574,4.419817999999999,8.58682201402547,6.458810290996385,56.52587,45.05667,2.759003000000033,1.56168700000002,18.10065792576644,10.885212637258292,0.18262932044839483,63.88856187426515,94.831876
DRIFT10,4.419817999999999,0.139,4.558818,0.9939553761865002,0.3304497859512928,56.525890000000004,45.05666,0.0371635,0.004136814,1.3884135713339643,0.22938950222767632,0.18262932044839483,63.88856187426515,94.831876
