#ele Pos(m) X_aper(m) Y_aper(m) x(m) xp(rad) y(m) yp(rad) p(rad) W(MeV)
422 1.22 0.0118 0.05 -0.0143863 -0.0192353 0.00876746 0.000994416 60.5246 0.182632
422 1.22 0.0118 0.05 0.0117059 0.0159352 -0.00837312 -0.000600646 -48.1905 0.182628
422 1.22 0.0118 0.05 0.0140634 0.0149431 -0.00185315 0.0070114 -32.3965 0.182629
422 1.22 0.0118 0.05 0.0124165 0.0165831 -0.00789356 0.000158116 -49.1706 0.182628
422 1.22 0.0118 0.05 0.0118531 0.0129049 -0.00179496 0.00572566 -29.5499 0.182633
422 1.22 0.0118 0.05 0.0131348 0.0120114 -0.00100081 0.00788016 -18.5634 0.182625
422 1.22 0.0118 0.05 0.0129033 0.018651 -0.00903204 -0.0019031 -59.8382 0.182627
422 1.22 0.0118 0.05 -0.0150907 -0.0192369 0.00770191 -0.000467194 57.2957 0.182642
422 1.22 0.0118 0.05 0.0148408 0.0180261 -0.00581769 0.00337995 -48.0577 0.182629
422 1.22 0.0118 0.05 -0.0135022 -0.0103562 -0.00290206 -0.0124028 8.863 0.182625
422 1.22 0.0118 0.05 -0.015642 -0.0162568 0.00350806 -0.0065364 36.4764 0.18263
422 1.22 0.0118 0.05 0.0138991 0.01402 -0.00287886 0.00659328 -27.6082 0.182628
422 1.22 0.0118 0.05 -0.0149675 -0.0193704 0.00829539 0.000486393 58.762 0.182626
422 1.22 0.0118 0.05 -0.0130263 -0.0132868 0.00143379 -0.00680932 28.7218 0.182628
422 1.22 0.0118 0.05 -0.0137796 -0.0201008 0.01152 0.00440789 68.3659 0.182628
422 1.22 0.0118 0.05 -0.0138535 -0.0120154 -0.000193476 -0.00985226 17.4269 0.182624
422 1.22 0.0118 0.05 -0.0116691 -0.0179331 0.0110523 0.00419561 63.5943 0.182631
422 1.22 0.0118 0.05 0.012851 0.0150737 -0.00607028 0.00274141 -38.6783 0.182642
422 1.22 0.0118 0.05 -0.0160395 -0.01849 0.00605526 -0.0038055 48.8805 0.182625
422 1.22 0.0118 0.05 -0.0137713 -0.0119825 0.000149196 -0.00893933 17.8124 0.182623
422 1.22 0.0118 0.05 0.0131594 0.0178759 -0.00855005 -0.000366923 -53.7403 0.182624
422 1.22 0.0118 0.05 -0.0159749 -0.0189584 0.00681406 -0.00273219 52.0878 0.18263
422 1.22 0.0118 0.05 -0.0116669 -0.0181568 0.0110931 0.00606532 65.1755 0.182623
422 1.22 0.0118 0.05 0.0138646 0.0174916 -0.00734742 0.00173394 -48.8531 0.182628
422 1.22 0.0118 0.05 -0.0152306 -0.0175711 0.0045206 -0.00435159 46.4038 0.182628
422 1.22 0.0118 0.05 -0.015244 -0.0200297 0.00925673 0.00096016 61.6772 0.182642
422 1.22 0.0118 0.05 0.0134159 0.0181577 -0.00879198 -0.000491651 -54.4039 0.182626
422 1.22 0.0118 0.05 -0.0162788 -0.0166199 0.00318696 -0.0072427 36.2257 0.182624
422 1.22 0.0118 0.05 -0.0119858 -0.0123643 0.00409718 -0.00488587 26.9673 0.182656
422 1.22 0.0118 0.05 -0.0125213 -0.0132561 0.00180344 -0.00594968 30.7665 0.182629
422 1.22 0.0118 0.05 -0.0158176 -0.0160645 0.00229097 -0.00780989 34.2761 0.182644
422 1.22 0.0118 0.05 -0.0119495 -0.0112166 0.00289769 -0.00638591 20.6227 0.182623
422 1.22 0.0118 0.05 0.0142333 0.0143517 -0.00248049 0.00692551 -28.4712 0.182639
422 1.22 0.0118 0.05 0.0154829 0.0150553 -0.000412641 0.00979874 -27.8571 0.182653
422 1.22 0.0118 0.05 -0.0138418 -0.0158798 0.00569031 -0.00301645 41.4521 0.182626
422 1.22 0.0118 0.05 0.0155118 0.0175237 -0.00514159 0.00518677 -42.3909 0.18263
422 1.22 0.0118 0.05 -0.0153967 -0.0157189 0.00260149 -0.00732167 33.9264 0.182636
