# X[mm] xp[mrad] Y[mm] yp[mrad]
3.5919125570e-04 1.5200401778e-03 2.4947100476e-03 3.0071102514e-01
-8.5074605852e-01 4.2235953675e+01 -2.9244508135e-01 -4.4574629653e+01
-1.0961802704e+00 -9.2727337425e+01 4.0720004560e-01 4.6639816916e+01
-2.2412901059e-01 -1.0914120903e+02 7.4578441078e-01 1.0882583167e+02
4.2265742355e-01 8.2785301152e+00 -3.2008428129e-01 1.8577116621e+00
1.1908376298e+00 6.7931596694e-01 -6.6014951760e-03 3.1154625901e+01
1.9928725158e-02 9.0119529265e+01 -6.6617563360e-01 -9.2440656023e+01
-9.9477922644e-01 -6.0829016756e+01 4.3407200819e-01 4.1527645786e+01
3.0449408228e-01 -6.3819348222e+01 4.4738059661e-01 4.3648309214e+01
-1.2183518413e+00 -1.4540089331e+01 2.8767172318e-02 -4.7401707479e+01
1.0572558722e+00 6.7339306585e+01 -2.4944594784e-01 -1.2735658069e+01
6.9203883574e-01 -8.1645300531e+01 5.3050033696e-01 1.0094616647e+02
1.2306534813e+00 -3.1030209998e+01 1.5303780349e-01 6.3061941818e+01
-9.7520235814e-01 -5.4741100897e+01 4.0636681647e-01 3.8123118761e+01
-7.8348658707e-01 5.5361775140e+01 -2.1163044154e-01 -4.2902465202e+01
2.8546330420e-01 5.5010140428e+00 -3.3385063281e-01 4.0014246185e+01
1.6894722045e-01 -9.4053744594e+01 6.3766652641e-01 9.3955119888e+01
1.1412961330e+00 8.8561628643e+01 -4.8626261795e-01 -4.7409918008e+01
1.5070756980e+00 2.4630239510e+01 -4.2666293859e-02 4.3918900986e+01
-7.4549447696e-01 -9.1446772454e+01 6.2802978890e-01 8.3870769089e+01
1.3668349409e-01 -5.6858121144e+01 2.6384777956e-01 2.1422661033e+00
-3.3429582139e-01 1.0038592000e+02 -6.3410440060e-01 -1.0715920966e+02
9.8316348377e-01 1.0982471955e+02 -5.6785512352e-01 -7.6490631860e+01
1.1572042799e+00 -4.9778898150e+01 3.1994366099e-01 8.4659598011e+01
-4.7718597986e-01 -1.0664579574e+02 7.2887333730e-01 9.2413775914e+01
5.3310579513e-01 -9.9645268401e+00 -2.3088237260e-01 9.1583378603e+00
3.1547622989e-01 6.1655945450e+01 -2.7214322265e-01 -4.9886656393e+01
-1.2457783326e+00 -1.1369289676e+01 1.3608532823e-01 -1.2925241109e+01
-1.5047968772e+00 1.4832970083e+01 -9.9608783687e-02 -7.9166932006e+01
4.4704250781e-01 9.2485814395e+01 -6.7628541616e-01 -8.1389385400e+01
-5.0881491390e-01 3.8559332404e+01 4.5502885953e-02 -1.1617483687e+01
-1.0845689636e+00 1.2393287254e+01 5.9611296595e-02 -1.6023664310e+01
1.0184149107e+00 4.9744183227e+01 -1.6967853852e-01 1.5465857232e+00
9.4512189171e-01 1.2641669754e+02 -6.3487480407e-01 -9.5524929786e+01
-4.9354843139e-01 -1.0522203205e+02 7.0383190286e-01 9.2985621692e+01
-3.7061169054e-01 9.0638862721e+01 -5.6740725474e-01 -9.1899153081e+01
5.3002934699e-01 -1.0176223061e+01 -2.2586959173e-01 1.1626618101e+01
9.5792700423e-01 -2.1650587285e+01 1.1372226445e-02 2.3446298204e+01
-2.3468327577e-01 2.7379279316e+01 2.8354079757e-01 -8.1946668626e+00
-1.0704755620e+00 3.8174961531e+01 -2.8490163263e-01 -5.7192194604e+01
-1.0102627353e+00 -7.9518546707e+01 4.9387650121e-01 5.6338398602e+01
7.4439350130e-01 -5.9569558704e+01 1.8163578932e-01 4.4913672090e+01
3.3784584262e-02 1.0992171228e+02 -7.2063904572e-01 -1.1022061542e+02
5.3392979350e-01 1.0567221606e+02 -7.0902931460e-01 -9.6458347417e+01
-4.9563402473e-01 -1.1475936193e+02 7.0403852233e-01 1.1024750607e+02
1.0988321698e+00 -5.6627119296e+01 3.4975930976e-01 8.0373785534e+01
-3.2239545244e-01 4.8618121214e+01 -1.5911582587e-01 -3.3789703767e+01
4.9062860961e-01 -7.6887911929e-01 -2.9566213305e-01 -1.7369854272e+01
8.6241007003e-02 -5.8178016285e+01 3.8717681834e-01 2.4748067012e+01
-1.4666869745e-01 -4.7825258252e+01 3.1637680808e-01 2.5066845079e+01
2.2378369653e-01 9.1534537764e+01 -6.7464689144e-01 -8.0919350196e+01
1.9153109402e-01 -5.2969547928e+00 -3.0890629971e-01 2.9044945754e+01
-5.0597198944e-01 -6.8238336964e+01 6.0065426509e-01 6.0130101631e+01
-3.8798619674e-01 5.7007279705e+01 -2.0923210156e-01 -2.9406494561e+01
-1.1475253547e+00 4.7898655449e+01 -1.9784756755e-01 -6.2410651912e+01
1.2552347943e+00 5.0974870681e+01 -2.7461060958e-01 -7.4551361666e+00
-9.1742940982e-01 -3.3443375270e+01 3.5559035771e-01 2.5400601656e+01
-9.6911281916e-01 -1.9825998044e+01 3.0603207464e-01 1.3443380341e+01
8.2551624756e-01 6.1484914290e+01 -4.8484981009e-01 -4.9849366756e+01
-1.1854423507e+00 2.6884505124e+01 -8.1944538871e-02 -4.3195218502e+01
-8.2042702603e-01 -1.3248181760e+02 6.1692179768e-01 1.0245054533e+02
4.2495987340e-01 8.2530508657e+01 -6.5690874347e-01 -7.5269433048e+01
5.2977241110e-01 -3.9253283749e+01 5.8295767867e-02 3.3101968067e+01
9.6556537628e-01 -6.6808005994e+01 4.4904295611e-01 9.6448135308e+01
-1.0925108768e+00 4.1235848265e+01 -2.0820525170e-01 -5.2286436398e+01
-9.9164917432e-02 -3.2867900569e+01 2.0213599137e-01 1.6126897429e+01
-6.8192630705e-01 -1.1122536975e+02 6.9607854273e-01 1.0186452754e+02
-4.9823172064e-01 -9.2752340848e+01 7.0139142476e-01 9.3494710280e+01
1.5033025420e+00 -2.1228764331e+00 1.1544208294e-01 7.3164033160e+01
-5.4968406424e-01 -1.8425337063e+01 5.4237865648e-02 -1.3199526681e+01
-2.7434987941e-01 -9.5213060309e+01 6.9694798065e-01 8.8392889301e+01
-8.0152531489e-02 9.5208858522e+01 -6.7030280344e-01 -1.0060942151e+02
1.0298443088e-01 -9.8574024519e+01 6.3489074527e-01 8.4741063660e+01
-5.7612746635e-02 3.5412317800e+01 -2.6514163431e-01 9.5741496767e+00
1.2974726515e+00 -2.3860628259e+01 1.6193941594e-01 6.7361601287e+01
-6.9489770377e-01 -4.9908660845e+00 -1.9239986861e-03 -3.2734708168e+01
-1.3855959806e-01 7.0566948060e+01 -1.9427341186e-01 1.2613991642e-01
6.9155609202e-01 -7.5743496108e+01 4.9475224695e-01 8.4351944651e+01
-4.5501087364e-01 -1.0753754565e+02 7.1098833286e-01 9.8810754165e+01
2.3342219775e-01 -8.8066115751e+01 4.5121119459e-01 1.1315549583e+02
-8.6360129239e-01 -1.2021702058e+02 6.0024610381e-01 9.3264766113e+01
1.3418524979e+00 4.9017640912e+01 -2.3803566135e-01 -4.4012471015e-01
-1.5414201792e+00 -6.9095030246e+00 1.6776115648e-02 -5.1435152000e+01
-9.9950266508e-01 -4.7139779453e+01 4.0383013963e-01 3.1032586445e+01
-2.2425296155e-01 9.6851875734e+01 -6.1291220788e-01 -9.0496232896e+01
-6.4021091402e-01 -4.5759516557e-01 2.2653710760e-01 -1.1870689154e+01
-2.8583196978e-02 -7.7011251935e+01 6.1374277181e-01 7.0402795016e+01
1.8407735318e-01 -4.2473428300e+01 -1.5342161627e-01 1.0528685378e+01
7.0452598865e-01 -7.6284019265e+01 5.0514744566e-01 9.4095296551e+01
-4.7243381156e-01 1.0107004508e+02 -5.9093967104e-01 -1.0917226988e+02
1.1766194077e+00 -1.1083738268e+01 3.3043303917e-02 3.8292045802e+01
-1.3820290611e+00 1.6082185793e+01 -7.5030515327e-02 -5.9307142615e+01
-1.2110669117e-01 8.9998328398e+01 -6.1981037282e-01 -8.0302862542e+01
6.6658854503e-02 7.8805779573e+01 -1.6372558143e-01 1.2692685180e+01
3.7941254804e-01 1.0685316986e+02 -5.0717722173e-01 -9.5922994002e+01
7.4785848614e-01 1.1029874745e+02 -7.1953621305e-01 -8.8456376216e+01
-6.8472543440e-01 8.6566488915e+01 -5.3116661136e-01 -1.0612136305e+02
1.3271105695e+00 7.1342672276e+01 -3.3803798279e-01 -1.9009738530e+01
1.8829691029e-01 -6.2877466281e+01 -4.4809749584e-02 1.5657664496e+01
1.1028455263e+00 5.7168726260e+01 -3.3574758270e-01 -2.1993997113e+01
8.9621814734e-02 -7.1926365085e+01 5.3114327583e-01 4.6861699090e+01
1.3552773799e+00 5.7346599757e+01 -1.9815158871e-01 6.1271207454e+00
7.5219196752e-01 -7.4560433231e+01 5.0694525445e-01 9.5299044885e+01
3.2321765267e-01 -5.9752421176e+01 -1.7752539068e-01 6.8069919714e+01
1.1105267614e+00 1.0014454420e+02 -5.2742235212e-01 -6.3133342914e+01
-4.4999490042e-01 -3.2372089707e+01 1.1928242030e-01 6.6874208529e+00
-1.1969046326e+00 -1.0819101424e+02 5.4856332941e-01 6.7294555326e+01
