# S[m] sigma_x[mm] sigma_y[mm] N mean_P[MeV/c] beta_x[mm/mrad] beta_y[mm/mrad] beta_z[mm/mrad] alpha_x[mrad] alpha_y[mrad] alpha_z[mrad] mean_E[MeV] sigma_px[mrad] sigma_py[mrad] 
0.0000000000e+00 5.7733165548e+00 6.7987489551e+00 1.4857000000e+04 6.3888677055e+01 1.2452307882e+00 1.7298478282e+00 nan 1.4009714839e+00 1.1011171784e+00 nan 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
2.0800000000e-01 4.5263746338e+00 5.9549832518e+00 1.4857000000e+04 6.3888677055e+01 7.6537936652e-01 1.3271255391e+00 1.3995705544e+04 9.0610745177e-01 8.3506745354e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
3.5800000000e-01 3.8269489101e+00 5.4347712819e+00 1.4857000000e+04 6.3888677055e+01 5.4709232971e-01 1.1053810494e+00 2.4088762427e+04 5.4923435171e-01 6.4320467118e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
4.9800000000e-01 3.4318661229e+00 5.0392748355e+00 1.4857000000e+04 6.3888677055e+01 4.3995072772e-01 9.5034536664e-01 3.3508948851e+04 2.1615279165e-01 4.6413274098e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
1.2200000000e+00 6.0511774451e+00 5.0301435501e+00 1.4857000000e+04 6.3888677055e+01 1.3680954537e+00 9.4678386113e-01 8.2090195981e+04 -1.5015963966e+00 -4.5936678479e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
1.2220000000e+00 5.3720093963e+00 5.0050741161e+00 1.4857000000e+04 6.3888675918e+01 1.1962601683e+00 9.6825670990e-01 6.8313281478e+04 -1.3037875444e+00 -5.1432693799e-01 5.4068026017e-01 1.8262935499e-01 7.3783722538e+00 5.8119976405e+00
1.2240000000e+00 5.3837261257e+00 5.0104011404e+00 1.4857000000e+04 6.3888675918e+01 1.2014845095e+00 9.7031863859e-01 6.8425087176e+04 -1.3083016217e+00 -5.1693886687e-01 5.4068026017e-01 1.8262935499e-01 7.3783722538e+00 5.8119976405e+00
1.2260000000e+00 5.3954577756e+00 5.0157494479e+00 1.4857000000e+04 6.3888675918e+01 1.2067269067e+00 9.7239101390e-01 6.8536892874e+04 -1.3128156989e+00 -5.1955079575e-01 5.4068026017e-01 1.8262935499e-01 7.3783722538e+00 5.8119976405e+00
1.4200000000e+00 6.5914804847e+00 5.6252732367e+00 1.4857000000e+04 6.3888675918e+01 1.8010598900e+00 1.2230642462e+00 7.9382045580e+04 -1.7506811916e+00 -7.7290789665e-01 5.4068026017e-01 1.8262935499e-01 7.3783722538e+00 5.8119976405e+00
1.5600000000e+00 9.8916487075e+00 4.3602237965e+00 1.4857000000e+04 6.3888675918e+01 4.0560448895e+00 7.3481382860e-01 1.7816758343e+05 -1.7736919935e+01 3.4618551471e+00 2.6312420379e-01 1.8262935499e-01 4.3219799320e+01 2.1337228628e+01
1.6520000000e+00 1.3872940333e+01 2.5303165698e+00 1.4857000000e+04 6.3888675918e+01 7.9781687595e+00 2.4746418935e-01 3.7037414273e+05 -2.4895289937e+01 1.8364717849e+00 1.3239920006e-01 1.8262935499e-01 4.3219799320e+01 2.1337228628e+01
1.7920000000e+00 1.2791671279e+01 1.8501939233e+00 1.4857000000e+04 6.3888675918e+01 6.7829988795e+00 1.3233462235e-01 5.2465796361e+05 3.0471352518e+01 -7.6325536229e-01 1.0077108482e-01 1.8262935499e-01 5.7268984454e+01 1.7537416246e+01
1.8840000000e+00 7.5070257828e+00 3.1104043527e+00 1.4857000000e+04 6.3888675918e+01 2.3361673352e+00 3.7400321539e-01 8.3961564096e+05 1.7864324982e+01 -1.8635839243e+00 6.5501689874e-02 1.8262935499e-01 5.7268984454e+01 1.7537416246e+01
2.0240000000e+00 2.7170278896e+00 3.3605068873e+00 1.4857000000e+04 6.3888675918e+01 3.0602700174e-01 4.3655299291e-01 1.0318304425e+06 1.9177291900e+00 1.6072457790e+00 5.7002244416e-02 1.8262935499e-01 1.9191661091e+01 1.4564906772e+01
2.9341000000e+00 1.5119564963e+01 1.0558517049e+01 1.4857000000e+04 6.3888675918e+01 9.4758924420e+00 4.3096723896e+00 1.4172052395e+06 -1.1994118818e+01 -5.8629974942e+00 6.0750365701e-02 1.8262935499e-01 1.9191661091e+01 1.4564906772e+01
3.1915000000e+00 8.3218538801e+00 6.5234743690e+00 1.4857000000e+04 6.3888675918e+01 1.8102583051e+00 3.4409428568e+00 1.7811356315e+06 1.2912723900e+01 2.5767105749e+01 5.2255559890e-02 1.8262935499e-01 5.9214139420e+01 4.8584491524e+01
3.3305000000e+00 6.4298244933e-01 3.7455391797e-01 1.4857000000e+04 6.3888675918e+01 1.0804644814e-02 1.1342795460e-02 2.4563938498e+06 3.3219242938e-02 -1.0917562627e+00 3.9020889551e-02 1.8262935499e-01 5.9214139420e+01 4.8584491524e+01
