# x[mm] y[mm]
-2.1943916377e-02 1.0142456873e-02
5.0422342625e+00 -7.4860204156e+00
-5.4266236696e+00 -8.0996587575e+00
-1.1172904571e+01 -1.6142500945e-01
-6.7282261320e-01 2.5763220311e+00
-3.3211873192e+00 9.6059345490e+00
9.4561427748e+00 -1.3374322253e+00
-4.0768596846e+00 -7.0596789570e+00
-5.0349027544e+00 3.3909488739e+00
4.3689080831e+00 -9.8684869503e+00
2.0562081091e+00 8.1430239490e+00
-1.0553047320e+01 6.7499280732e+00
-6.7429668232e+00 1.0248069661e+01
-3.6639017853e+00 -6.9530927093e+00
5.3729132638e+00 -6.6489931988e+00
-3.9810439795e+00 1.4898111726e+00
-9.8498234171e+00 2.7598093943e+00
5.2191098352e+00 8.2248217295e+00
-3.9581769779e+00 1.2193183497e+01
-8.4223971497e+00 -4.6200893764e+00
-1.4726697089e+00 1.5233538830e+00
1.1264358558e+01 -4.0713404735e+00
8.2875865629e+00 6.7893572728e+00
-8.8294048365e+00 1.0050610652e+01
-9.5791384475e+00 -2.2506251429e+00
-1.7438892340e+00 3.6214881457e+00
5.4548385698e+00 2.0309559795e+00
1.6869459283e+00 -9.7230386539e+00
7.8960850128e+00 -1.2418351295e+01
8.3243128844e+00 2.0962364561e+00
2.4657784943e+00 -3.7873232144e+00
2.4263786786e+00 -8.5165477899e+00
4.7089883412e-01 7.9821578971e+00
1.0314241344e+01 6.3723671566e+00
-9.6182027300e+00 -2.4538549931e+00
9.7991927267e+00 -4.2056949568e+00
-1.9515508496e+00 3.6159462511e+00
-3.1470560515e+00 7.6571084563e+00
2.0858920152e+00 -9.9376337658e-01
6.1424814370e+00 -9.2676652801e+00
-5.7846298761e+00 -7.0906565507e+00
-5.6945369019e+00 6.2444738524e+00
1.1460806999e+01 -1.3042522167e+00
9.8997037877e+00 2.7522094826e+00
-1.1377274352e+01 -2.4741650020e+00
-8.5783145353e+00 9.6208675861e+00
4.2274335903e+00 -2.8286677027e+00
7.2093647306e-01 3.1087694957e+00
-3.2258561339e+00 1.4848371119e+00
-2.9417722513e+00 -5.2619268847e-01
8.3812031700e+00 3.0404808364e-01
-3.2578785344e+00 7.2727998035e-01
-5.8859351951e+00 -2.6954792729e+00
4.0473149876e+00 -3.4440877764e+00
7.0557903015e+00 -9.6150925454e+00
9.8006524338e-01 9.5896032172e+00
-2.0690717082e+00 -6.5375843338e+00
-7.0004082278e-01 -7.0372544443e+00
4.8212758819e+00 5.5511460564e+00
5.0059709885e+00 -9.6813755362e+00
-1.1181862822e+01 -5.4527663887e+00
7.5531836744e+00 1.9426532033e+00
-4.1752741839e+00 4.2702081208e+00
-1.0019891230e+01 8.7922935897e+00
5.9457434100e+00 -9.2194414438e+00
-1.9528863417e+00 -3.9308502161e-01
-1.0465464478e+01 -3.9887669702e+00
-9.3038611328e+00 -2.4198639058e+00
-6.9860657304e+00 1.2503482850e+01
9.9138924859e-01 -4.3859026386e+00
-9.0660092420e+00 -6.5636921310e-01
1.0353633534e+01 -2.1422978482e+00
-9.1566818595e+00 2.1814025519e+00
-1.9974896398e-01 -9.8318550046e-01
-6.9274673294e+00 1.0853864674e+01
3.0471297820e+00 -5.6692285422e+00
1.7881627877e+00 -1.2770635486e+00
-9.0138057861e+00 6.6506293683e+00
-1.0196059482e+01 -2.1152717565e+00
-1.1666308565e+01 2.8380866944e+00
-1.0042435549e+01 -5.7703108099e+00
3.3246292832e-01 1.0387227636e+01
5.0939099510e+00 -1.2464648341e+01
-2.8250068751e+00 -7.1312673521e+00
9.7038267996e+00 -3.1140402901e+00
1.7264030846e+00 -4.5541670351e+00
-7.2634515054e+00 1.1574886254e+00
-2.4831109056e+00 8.6750962903e-01
-9.8572286888e+00 6.7954369698e+00
1.1603083203e+01 -5.0659235307e+00
-4.2027472778e+00 9.5507296612e+00
6.1978118383e+00 -1.1325136110e+01
8.5619017557e+00 -2.3267136292e+00
8.8333505713e-01 5.1682410008e-01
1.0301144043e+01 2.0624319668e+00
9.2111831415e+00 4.4813629835e+00
1.1135009617e+01 -6.6648467082e+00
2.4195277487e+00 1.0078861836e+01
-3.3393887998e+00 1.0961400298e+00
2.3927778844e+00 8.2076029162e+00
-5.2918091015e+00 1.8695957651e+00
6.6133311084e-02 1.0657435073e+01
-9.9340782482e+00 7.1967485342e+00
-8.0447542965e+00 1.9297968488e+00
6.8544280771e+00 7.9137115981e+00
-1.0699495975e+00 -3.4478779464e+00
-7.3641114320e+00 -8.5679555406e+00
2.5176909753e+00 -9.6618263443e+00
-1.1340451197e+01 1.5589902456e+00
-8.3483714661e+00 -3.0284546447e+00
2.7537003239e+00 3.0019539035e+00
3.1287917235e+00 8.8030501193e+00
4.9642292653e+00 -1.0549335021e+01
-9.1519217826e+00 1.0629728966e+01
1.0767803680e+01 -9.9108865866e-01
-1.1246841595e+01 -5.7028932069e+00
9.3956755251e+00 7.1428536176e+00
7.5137327985e+00 -3.9734752687e+00
-8.1703004129e+00 2.9623712943e+00
4.8933236208e+00 -9.2966111559e+00
6.1715576664e+00 9.1112786009e+00
-9.1211543232e+00 -2.3364085575e+00
1.0514482273e+01 3.6299206167e+00
-1.0024736558e+01 -3.1236863323e+00
-6.3162790331e+00 1.0129390078e+01
-8.5651646405e+00 -3.0621695780e+00
