# S[m] sigma_x[mm] sigma_y[mm] N mean_P[MeV/c] beta_x[mm/mrad] beta_y[mm/mrad] beta_z[mm/mrad] alpha_x[mrad] alpha_y[mrad] alpha_z[mrad] mean_E[MeV] sigma_px[mrad] sigma_py[mrad] 
0.0000000000e+00 5.7733165548e+00 6.7987489551e+00 1.4857000000e+04 6.3888677055e+01 1.2452307882e+00 1.7298478282e+00 nan 1.4009714839e+00 1.1011171784e+00 nan 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
1.2530120482e-03 5.7651817418e+00 6.7933281246e+00 1.4857000000e+04 6.3888677055e+01 1.2417237861e+00 1.7270904671e+00 8.4311479183e+01 1.3979903752e+00 1.0995144692e+00 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
2.5060240964e-03 5.7570527992e+00 6.7879108703e+00 1.4857000000e+04 6.3888677055e+01 1.2382242548e+00 1.7243371220e+00 1.6862295837e+02 1.3950092666e+00 1.0979117600e+00 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
3.7590361446e-03 5.7489297520e+00 6.7824972010e+00 1.4857000000e+04 6.3888677055e+01 1.2347321940e+00 1.7215877929e+00 2.5293443755e+02 1.3920281580e+00 1.0963090509e+00 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.0120481928e-03 5.7408126252e+00 6.7770871251e+00 1.4857000000e+04 6.3888677055e+01 1.2312476040e+00 1.7188424798e+00 3.3724591673e+02 1.3890470493e+00 1.0947063417e+00 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
6.2650602410e-03 5.7327014440e+00 6.7716806512e+00 1.4857000000e+04 6.3888677055e+01 1.2277704847e+00 1.7161011828e+00 4.2155739591e+02 1.3860659407e+00 1.0931036325e+00 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
7.5180722892e-03 5.7245962336e+00 6.7662777881e+00 1.4857000000e+04 6.3888677055e+01 1.2243008360e+00 1.7133639019e+00 5.0586887510e+02 1.3830848321e+00 1.0915009233e+00 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
8.7710843373e-03 5.7164970194e+00 6.7608785444e+00 1.4857000000e+04 6.3888677055e+01 1.2208386580e+00 1.7106306370e+00 5.9018035428e+02 1.3801037235e+00 1.0898982141e+00 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
1.0024096386e-02 5.7084038270e+00 6.7554829287e+00 1.4857000000e+04 6.3888677055e+01 1.2173839507e+00 1.7079013881e+00 6.7449183346e+02 1.3771226148e+00 1.0882955049e+00 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
1.1277108434e-02 5.7003166819e+00 6.7500909498e+00 1.4857000000e+04 6.3888677055e+01 1.2139367140e+00 1.7051761552e+00 7.5880331265e+02 1.3741415062e+00 1.0866927957e+00 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
1.2530120482e-02 5.6922356101e+00 6.7447026163e+00 1.4857000000e+04 6.3888677055e+01 1.2104969480e+00 1.7024549384e+00 8.4311479183e+02 1.3711603976e+00 1.0850900866e+00 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
1.3783132530e-02 5.6841606373e+00 6.7393179370e+00 1.4857000000e+04 6.3888677055e+01 1.2070646527e+00 1.6997377377e+00 9.2742627101e+02 1.3681792890e+00 1.0834873774e+00 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
1.5036144578e-02 5.6760917897e+00 6.7339369207e+00 1.4857000000e+04 6.3888677055e+01 1.2036398281e+00 1.6970245529e+00 1.0117377502e+03 1.3651981803e+00 1.0818846682e+00 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
1.6289156627e-02 5.6680290933e+00 6.7285595762e+00 1.4857000000e+04 6.3888677055e+01 1.2002224742e+00 1.6943153843e+00 1.0960492294e+03 1.3622170717e+00 1.0802819590e+00 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
1.7542168675e-02 5.6599725744e+00 6.7231859123e+00 1.4857000000e+04 6.3888677055e+01 1.1968125909e+00 1.6916102316e+00 1.1803607086e+03 1.3592359631e+00 1.0786792498e+00 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
1.8795180723e-02 5.6519222596e+00 6.7178159377e+00 1.4857000000e+04 6.3888677055e+01 1.1934101783e+00 1.6889090950e+00 1.2646721877e+03 1.3562548545e+00 1.0770765406e+00 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
2.0048192771e-02 5.6438781752e+00 6.7124496615e+00 1.4857000000e+04 6.3888677055e+01 1.1900152364e+00 1.6862119744e+00 1.3489836669e+03 1.3532737458e+00 1.0754738314e+00 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
2.1301204819e-02 5.6358403481e+00 6.7070870923e+00 1.4857000000e+04 6.3888677055e+01 1.1866277652e+00 1.6835188699e+00 1.4332951461e+03 1.3502926372e+00 1.0738711223e+00 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
2.2554216867e-02 5.6278088049e+00 6.7017282392e+00 1.4857000000e+04 6.3888677055e+01 1.1832477647e+00 1.6808297814e+00 1.5176066253e+03 1.3473115286e+00 1.0722684131e+00 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
2.3807228916e-02 5.6197835727e+00 6.6963731111e+00 1.4857000000e+04 6.3888677055e+01 1.1798752348e+00 1.6781447090e+00 1.6019181045e+03 1.3443304199e+00 1.0706657039e+00 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
2.5060240964e-02 5.6117646786e+00 6.6910217169e+00 1.4857000000e+04 6.3888677055e+01 1.1765101756e+00 1.6754636526e+00 1.6862295837e+03 1.3413493113e+00 1.0690629947e+00 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
2.6313253012e-02 5.6037521496e+00 6.6856740656e+00 1.4857000000e+04 6.3888677055e+01 1.1731525870e+00 1.6727866122e+00 1.7705410628e+03 1.3383682027e+00 1.0674602855e+00 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
