# X[mm] xp[rad] Y[mm] yp[rad]
-8.9442872500e-04 4.8407354411e-03 -7.9605870953e-03 2.8883389579e-01
-2.1844751877e+00 2.5837319635e+01 1.3935658381e+00 -3.8782613918e+01
1.5805435553e+00 -8.1298212213e+01 -9.3110728015e-01 4.0878081689e+01
8.4865352669e-02 1.1293836963e+01 -5.9403729363e-01 4.1006702111e+00
5.3614684594e-01 -2.9249819253e+01 -1.3705786904e-01 1.5359153732e+01
9.8216450768e-01 7.4447269833e+00 -1.8043895427e+00 2.5571437215e+01
-2.6835050171e+00 7.3783958310e+01 2.2358797160e+00 -8.1990713592e+01
8.9618989050e-01 -5.6217350860e+01 -8.7889432577e-01 3.5509682436e+01
2.6610299288e+00 -4.5140676967e+01 -1.2626486721e+00 3.5512594367e+01
-9.8019705120e-01 -1.5796742697e+01 1.2607014125e+00 -3.3780101923e+01
-2.2965846115e+00 5.8925219953e+01 3.1403492329e-01 -9.9007739985e+00
4.1703100013e+00 -6.6369404814e+01 -4.0839471939e+00 9.7599392269e+01
2.9832319640e+00 -2.0064030432e+01 -3.5100716893e+00 5.3750442330e+01
7.9068753764e-01 -5.1462290939e+01 -8.0831571190e-01 3.1699316453e+01
-2.4948463833e+00 3.4346898253e+01 1.2259635085e+00 -3.5670554603e+01
3.1500135133e+00 -4.4233801551e+01 -1.3037334757e+00 1.5675397362e+01
3.3855873724e+00 -7.6541292618e+01 -2.7644123184e+00 8.6045098697e+01
-2.9067409369e+00 7.6263551618e+01 1.9682783164e+00 -4.5169324154e+01
2.5217410491e-01 2.1451275194e+01 -2.6118128236e+00 3.5054766626e+01
1.8018850061e+00 -8.0437934674e+01 -1.7905328889e+00 7.4478868080e+01
3.0220720023e+00 -3.7915886686e+01 -2.5723773194e+00 4.2429828846e+01
4.7067662737e-01 -1.4878693757e+01 1.4897606435e+00 -2.3306170306e+01
-2.8662306273e+00 9.5241151978e+01 2.2931667754e+00 -7.1131451533e+01
3.8471560284e+00 -3.7162699875e+01 -4.4275215809e+00 7.6621018663e+01
2.2707274223e+00 -8.8072760319e+01 -1.8001362838e+00 8.5411556791e+01
3.9120394480e+00 -5.2818684713e+01 -4.5199485045e+00 6.5455047924e+01
-2.1094350660e+00 5.4037845010e+01 1.5190156917e+00 -3.8496912552e+01
-8.9873734850e-01 -1.8883026856e+01 4.5115631027e-01 -7.0016296884e+00
-2.0552636313e+00 6.8031943359e+00 1.3785651571e+00 -5.8979326855e+01
-2.8124844774e+00 7.6084412244e+01 2.4284842873e+00 -7.3245413831e+01
-2.4396331653e+00 5.2804337733e+01 2.4663982121e-01 -2.2954177207e+00
-1.3708798936e+00 -1.7632856456e+00 5.0646597850e-01 -1.0248793911e+01
-1.5881626338e+00 4.4615073030e+01 -4.1597527540e-01 3.4227895976e+00
-2.0671420460e+00 3.0049376464e+01 3.9274209911e-01 -9.8846493627e+00
2.2677101961e+00 -8.7941199610e+01 -1.8702986663e+00 8.5364111801e+01
