# X[mm] xp[mrad] Y[mm] yp[mrad]
4.5833427618e-04 -8.2564192869e-04 -1.0036276067e-02 2.3420662329e-01
-2.5371249453e+00 3.2794629884e+01 1.1613432786e+00 -3.4843215722e+01
1.5393940324e+00 -7.5152431608e+01 -9.3512457268e-01 3.7832656828e+01
2.9088494616e+00 -9.1766102265e+01 -2.3670477978e+00 9.6957275972e+01
-2.6405984643e-01 -5.9186674375e+00 2.7960146053e-01 5.2625416171e+00
1.5469396395e+00 -2.4497432031e-01 -1.8146699931e+00 2.5876231275e+01
-2.9025170208e+00 7.4113147857e+01 2.2359934785e+00 -7.8654039667e+01
7.6064555190e-01 -4.9064869179e+01 -7.9850778955e-01 3.3015344882e+01
2.9913892406e+00 -5.0354999614e+01 -1.2317684931e+00 3.4816180895e+01
-1.0731708042e+00 -1.2610885549e+01 1.3721641663e+00 -3.5833074932e+01
-1.9696967511e+00 5.2938556310e+01 3.1631370021e-01 -9.6550011895e+00
4.3925508936e+00 -6.9491944913e+01 -3.8937420309e+00 9.0520683974e+01
3.4081528267e+00 -2.6822100878e+01 -3.4964859092e+00 5.4014825365e+01
6.1682840762e-01 -4.4140058048e+01 -7.4525964638e-01 3.0212174217e+01
-2.7840119646e+00 4.3280195020e+01 1.1015459190e+00 -3.3482731338e+01
-2.4527487150e+00 6.5390191728e+01 1.3830704679e+00 -9.9056279010e+01
3.6081699017e+00 -7.7975962178e+01 -2.7162351363e+00 8.1505722379e+01
-2.6953459801e+00 7.0759708980e+01 1.6490045580e+00 -3.8232196912e+01
6.3702860840e-01 1.7130516004e+01 -2.7675291829e+00 3.7255025959e+01
1.8564210278e+00 -7.4780068144e+01 -1.7810656362e+00 6.9995144849e+01
-2.3884726506e+00 3.6524738861e+01 1.2662324110e+00 -3.5714169803e+01
-2.7413423803e+00 8.4465216013e+01 1.7463102316e+00 -9.4722299673e+01
-2.9410213496e+00 8.9973257623e+01 2.2815983595e+00 -6.5097623153e+01
4.1721598381e+00 -4.3179732217e+01 -4.2629533554e+00 7.4528479958e+01
2.4702663116e+00 -8.8187321620e+01 -1.7956305010e+00 7.9350458062e+01
1.7840981962e+00 -1.8801001770e+01 -4.2525558873e+00 5.4515491675e+01
-2.0372734982e+00 4.9102826611e+01 1.6235478685e+00 -3.9688249557e+01
-1.1794290052e+00 -1.0329242642e+01 5.4816344182e-01 -8.8643142439e+00
-2.1785619310e+00 1.1292402561e+01 1.6007138247e+00 -6.2336782250e+01
-2.9666285473e+00 7.5379133499e+01 2.3301562699e+00 -6.8251262794e+01
-2.0938136427e+00 8.3522534031e+01 1.6795456125e+00 -1.0107972180e+02
-1.7557056174e+00 8.4631110479e+00 5.6458232640e-01 -1.1377189122e+01
-1.2262858206e+00 3.8783693706e+01 -3.0502127003e-01 1.7537386238e+00
-2.7385189178e+00 1.0582893052e+02 2.2767958386e+00 -8.5118648903e+01
2.4444595946e+00 -8.6979693667e+01 -1.8748113211e+00 7.9781087519e+01
