 Card Number	Card Type	Length [m]	Alive [%]	x Average [m]	x' Average [rad]	y Average [m]	y' Average [rad]	Phase Average [rad]	Momentum Average [GeV/c]	Kinetic Energy Average [GeV]	Rest Energy Average [GeV]	RF Phase [deg]	Power loss [watt]
     3	  33	    0.000000000000000E+00	    0.100000000000000E+03	   -0.244497098045653E-04	   -0.238448823521067E-03	    0.945323570157476E-04	   -0.844125525774649E-04	    0.702598552946868E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     5	   9	    0.000000000000000E+00	    0.100000000000000E+03	   -0.244497098045653E-04	   -0.238448823521067E-03	    0.945323570157476E-04	   -0.844125525774649E-04	    0.702598552946868E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     6	   3	    0.500000000000000E-03	    0.100000000000000E+03	   -0.245689342163241E-04	   -0.238448823521067E-03	    0.944901507394883E-04	   -0.844125525774649E-04	    0.702664450336675E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     6	   3	    0.100000000000000E-02	    0.100000000000000E+03	   -0.246881595046017E-04	   -0.238450576554746E-03	    0.944479443511347E-04	   -0.844127767068776E-04	    0.702730343343117E+00	    0.638885690452939E-01	    0.182629361498140E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     5	   9	    0.100000000000000E-02	    0.100000000000000E+03	   -0.246881595046017E-04	   -0.238450576554746E-03	    0.944479443511347E-04	   -0.844127767068776E-04	    0.702730343343117E+00	    0.638885690452939E-01	    0.182629361498140E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     6	   3	    0.150000000000000E-02	    0.100000000000000E+03	   -0.248073847928790E-04	   -0.238450576554746E-03	    0.944057379627817E-04	   -0.844127767068776E-04	    0.702796236349560E+00	    0.638885690452939E-01	    0.182629361498140E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     6	   3	    0.200000000000000E-02	    0.100000000000000E+03	   -0.249266109585915E-04	   -0.238452331425434E-03	    0.943635314611099E-04	   -0.844130033438229E-04	    0.702862124970532E+00	    0.638885690463099E-01	    0.182629361503981E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     5	   9	    0.200000000000000E-02	    0.100000000000000E+03	   -0.249266109585915E-04	   -0.238452331425434E-03	    0.943635314611099E-04	   -0.844130033438229E-04	    0.702862124970532E+00	    0.638885690463099E-01	    0.182629361503981E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     6	   3	    0.250000000000000E-02	    0.100000000000000E+03	   -0.250458371243044E-04	   -0.238452331425434E-03	    0.943213249594379E-04	   -0.844130033438229E-04	    0.702928013591500E+00	    0.638885690463099E-01	    0.182629361503981E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     6	   3	    0.300000000000000E-02	    0.100000000000000E+03	   -0.251650641684194E-04	   -0.238454088230144E-03	    0.942791183434542E-04	   -0.844132319666114E-04	    0.702993897824824E+00	    0.638885690473672E-01	    0.182629361510095E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     5	   9	    0.300000000000000E-02	    0.100000000000000E+03	   -0.251650641684194E-04	   -0.238454088230144E-03	    0.942791183434542E-04	   -0.844132319666114E-04	    0.702993897824824E+00	    0.638885690473672E-01	    0.182629361510095E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     6	   3	    0.350000000000000E-02	    0.100000000000000E+03	   -0.252842912125345E-04	   -0.238454088230144E-03	    0.942369117274713E-04	   -0.844132319666114E-04	    0.703059782058133E+00	    0.638885690473672E-01	    0.182629361510095E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     6	   3	    0.400000000000000E-02	    0.100000000000000E+03	   -0.254035191360460E-04	   -0.238455847022669E-03	    0.941947049961659E-04	   -0.844134626108332E-04	    0.703125661901489E+00	    0.638885690484720E-01	    0.182629361516513E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     5	   9	    0.400000000000000E-02	    0.100000000000000E+03	   -0.254035191360460E-04	   -0.238455847022669E-03	    0.941947049961659E-04	   -0.844134626108332E-04	    0.703125661901489E+00	    0.638885690484720E-01	    0.182629361516513E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     6	   3	    0.450000000000000E-02	    0.100000000000000E+03	   -0.255227470595571E-04	   -0.238455847022669E-03	    0.941524982648604E-04	   -0.844134626108332E-04	    0.703191541744839E+00	    0.638885690484720E-01	    0.182629361516513E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     6	   3	    0.500000000000000E-02	    0.100000000000000E+03	   -0.256419758637413E-04	   -0.238457608368095E-03	    0.941102914170505E-04	   -0.844136956203327E-04	    0.703257417195839E+00	    0.638885690496290E-01	    0.182629361523248E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     5	   9	    0.500000000000000E-02	    0.100000000000000E+03	   -0.256419758637413E-04	   -0.238457608368095E-03	    0.941102914170505E-04	   -0.844136956203327E-04	    0.703257417195839E+00	    0.638885690496290E-01	    0.182629361523248E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     6	   3	    0.550000000000000E-02	    0.100000000000000E+03	   -0.257612046679252E-04	   -0.238457608368095E-03	    0.940680845692404E-04	   -0.844136956203327E-04	    0.703323292646837E+00	    0.638885690496290E-01	    0.182629361523248E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
