 x [cm]	x' [rad]	y [cm]	y' [rad]	Phase [rad]	Kinetic Energy [MeV]	Charge State	Rest Mass [GeV/c2]
   -0.242402125893240E-03	    0.964546163431819E-04	    0.698345283598784E-03	    0.241934557018607E-03	    0.621427096287332E+00	    0.182625636675482E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.945187161604998E-01	    0.328122311403758E-01	   -0.185241971257484E-01	   -0.443441839611330E-01	   -0.222518551307664E+02	    0.182707775136848E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.984119708422869E-01	   -0.983843048079018E-01	    0.357929835765175E-01	    0.503844942344494E-01	   -0.169941254953114E+02	    0.182709687459592E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.105928237880834E-01	   -0.107206895212448E+00	    0.652721915881937E-01	    0.110894246878954E+00	    0.179325095145761E+02	    0.182630619372404E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.119747508768819E+00	    0.744231572213831E-02	   -0.362921208072034E-02	    0.290691719043816E-01	    0.541402242011979E+02	    0.181986433689829E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.948951410917750E-02	    0.872080241955452E-01	   -0.563881774469759E-01	   -0.942732553578159E-01	    0.735891123257679E+01	    0.182632889737633E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.889022500888296E-01	   -0.679660052000276E-01	    0.355250743400858E-01	    0.448291972594414E-01	   -0.287287210923393E+02	    0.182883669111789E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.410486847008934E-01	   -0.583434809745746E-01	    0.372686207256997E-01	    0.449586620846574E-01	    0.604386926102602E+01	    0.182666398538700E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.119669393819523E+00	   -0.201843085516291E-01	    0.163015802767293E-01	   -0.440423072402651E-01	   -0.548477964857257E+02	    0.183310348646160E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.100247145115938E+00	    0.743853627291474E-01	   -0.250700033360126E-01	   -0.166487898817195E-01	    0.356008887173447E+02	    0.182363511582295E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.755923500629902E-01	   -0.754855558359111E-01	    0.506006037437443E-01	    0.101800955538793E+00	    0.512888493394788E+02	    0.182270489174741E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.123990771479551E+00	   -0.262176549282871E-01	    0.158723669355035E-01	    0.619652169911114E-01	    0.644742329202892E+02	    0.182045048360280E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.876625775998046E-01	   -0.622077656135096E-01	    0.329394019433153E-01	    0.409636402149714E-01	   -0.293799744133450E+02	    0.182887922093755E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.935736003244816E-01	    0.453235297772621E-01	   -0.915147698534047E-02	   -0.411693183818495E-01	   -0.294014008562750E+02	    0.182884502065050E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.292327241661668E-01	   -0.893879116880605E-01	    0.536724388776225E-01	    0.952919991280673E-01	    0.235352619742775E+02	    0.182602285478950E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.109380470433679E+00	    0.942422805720398E-01	   -0.473662557216635E-01	   -0.525992090574691E-01	    0.407565597322436E+02	    0.182316425748397E+00	    0.600000000000000E+01	    0.111748622150701E+02
