 Card Number	Card Type	Length [m]	Aperture x [m]	Aperture y [m]	x RMS [m]	x' RMS [rad]	y RMS [m]	y' RMS [rad]	Phase RMS [rad]	Momentum RMS [GeV/c]	Kinetic Energy RMS [GeV]	Rest Energy RMS [GeV]	Momentum Standard Deviation [GeV/c]	Kinetic Energy Standard Deviation [GeV]	(X,BGX') 100%-Emittance [m.rad]	(X,BGX') 90%-Emittance [m.rad]	(X,BGX') RMS-Emittance [m.rad]	(Y,BGY') 100%-Emittance [m.rad]	(Y,BGY') 90%-Emittance [m.rad]	(Y,BGY') RMS-Emittance [m.rad]	(PHI,dE) 100%-Emittance [deg.MeV]	(PHI,dE) 90%-Emittance [deg.MeV]	(PHI,dE) RMS-Emittance [deg.MeV]	(PHI,dP) 100%-Emittance [deg.MeV/c]	(PHI,dP) 90%-Emittance [deg.MeV/c]	(PHI,dP) RMS-Emittance [deg.MeV/c]	(X,X') Alpha [1]	(X,X') Beta [m/rad]	(Y,Y') Alpha [1]	(Y,Y') Beta [m/rad]	(PHI,dE) Alpha [1]	(PHI,dE) Beta [deg/MeV]	(PHI,dP) Alpha [1]	(PHI,dP) Beta [deg.c/MeV]	Halo(X,BGX')	Halo(Y,BGY')	Halo(Z,Z')	(X,Y) Alpha [1]	(X,Y) Beta [1]	(X,Y') Alpha [1]	(X,Y') Beta [m/rad]	(X',Y) Alpha [1]	(X',Y) Beta [rad/m]	(X',Y') Alpha [1]	(X',Y') Beta [1]	(X, BGX') Wanted Emittance [m.rad]	(Y, BGY') Wanted Emittance [m.rad]	(PHI, dE) Wanted Emittance [deg.MeV]	(PHI, dP) Wanted Emittance [deg.MeV/c]	 x beam size in wanted emittance [m]	 x' beam size in wanted emittance [rad]	 y beam size in wanted emittance [m]	 y' beam size in wanted emittance [rad]	 Phase beam size in wanted emittance [rad]	 Energy beam size in wanted emittance [GeV]	(X,Y) RMS-Emitt [m2]	(X,Y') RMS-Emitt [m2.rad2]	(X',Y) RMS-Emitt [m2.rad2]	(X',Y') RMS-Emitt [rad2]	(X,PH) Alpha [1]	(X,PH) Beta [m/deg]	(X,PH)RMS-Emittance [m.deg]	(Y,PH) Alpha [1]	(Y,PH) Beta [m/deg]	(Y,PH)RMS-Emittance [m.deg]
     2	  34	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.577313237157510E-02	    0.797939091899411E-02	    0.679853205798449E-02	    0.584602157269784E-02	    0.315000532435334E+02	    0.107896109526015E-05	    0.616856506126473E-08	    0.111748622150695E+02	    0.107896109526015E-05	    0.616856506126473E-08	    0.152431344942464E-05	    0.564504080770257E-06	    0.153022071411188E-06	    0.130827347756088E-05	    0.563914323401984E-06	    0.152770376600386E-06	    0.232608761887132E+00	    0.447822433754879E-01	    0.111328294151787E-01	    0.406845859894871E+02	    0.783266725049777E+01	    0.194726892661906E+01	    0.140079046086154E+01	    0.124522980954731E+01	    0.110102388815979E+01	    0.172970366087007E+01	   -0.796394686764611E-02	    0.292591891152508E+09	   -0.796392643600716E-02	    0.167279186143077E+07	    0.723584969199944E-01	    0.689015827648958E-01	    0.108540748976414E+01	   -0.110123285206284E+00	    0.854306873461802E+00	   -0.601983855045538E+00	    0.115265930013550E+01	    0.758830367291315E+00	    0.147335832846259E+01	   -0.332006431690631E-02	    0.136493422019886E+01	    0.564504080770257E-06	    0.563914323401984E-06	    0.447822433754879E-01	    0.783266725049777E+01	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.390129804816776E-04	    0.289149251438046E-04	    0.432146601462283E-04	    0.466474343568362E-04	   -0.608983268285162E+01	    0.113105380023724E-02	    0.294672608612760E-01	   -0.259873206281892E+00	    0.222994800452968E-03	    0.207269577808794E+00
     5	   9	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.577313237157510E-02	    0.797939091899411E-02	    0.679853205798449E-02	    0.584602157269784E-02	    0.315000532435334E+02	    0.107896109526015E-05	    0.616856506126473E-08	    0.111748622150695E+02	    0.107896109526015E-05	    0.616856506126473E-08	    0.152431344942464E-05	    0.564504080770257E-06	    0.153022071411188E-06	    0.130827347756088E-05	    0.563914323401984E-06	    0.152770376600386E-06	    0.232608761887132E+00	    0.447822433754879E-01	    0.111328294151787E-01	    0.406845859894871E+02	    0.783266725049777E+01	    0.194726892661906E+01	    0.140079046086154E+01	    0.124522980954731E+01	    0.110102388815979E+01	    0.172970366087007E+01	   -0.796394686764611E-02	    0.292591891152508E+09	   -0.796392643600716E-02	    0.167279186143077E+07	    0.723584969199944E-01	    0.689015827648958E-01	    0.108540748976414E+01	   -0.110123285206284E+00	    0.854306873461802E+00	   -0.601983855045538E+00	    0.115265930013550E+01	    0.758830367291315E+00	    0.147335832846259E+01	   -0.332006431690631E-02	    0.136493422019886E+01	    0.564504080770257E-06	    0.563914323401984E-06	    0.447822433754879E-01	    0.783266725049777E+01	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.390129804816776E-04	    0.289149251438046E-04	    0.432146601462283E-04	    0.466474343568362E-04	   -0.608983268285162E+01	    0.113105380023724E-02	    0.294672608612760E-01	   -0.259873206281892E+00	    0.222994800452968E-03	    0.207269577808794E+00
     6	   3	    0.500000000000000E-03	    0.000000000000000E+00	    0.000000000000000E+00	    0.576988566956274E-02	    0.797939091899411E-02	    0.679636857886376E-02	    0.584602157269784E-02	    0.315000564504150E+02	    0.107896109526015E-05	    0.616856506126473E-08	    0.111748622150695E+02	    0.107896109526015E-05	    0.616856506126473E-08	    0.152431341100112E-05	    0.564504066540746E-06	    0.153022071410571E-06	    0.130827347678585E-05	    0.563914323067914E-06	    0.152770376591315E-06	    0.232608728593720E+00	    0.447822369657823E-01	    0.111328306126852E-01	    0.406845801662825E+02	    0.783266612940429E+01	    0.194726913607767E+01	    0.139960103757266E+01	    0.124382961532661E+01	    0.110038439974766E+01	    0.172860295797044E+01	   -0.796322356219873E-02	    0.292591919254746E+09	   -0.796320313037972E-02	    0.167279202209551E+07	    0.723584969081781E-01	    0.689015829778215E-01	    0.108540806939216E+01	   -0.110021744359766E+00	    0.854088792848531E+00	   -0.602449136463007E+00	    0.115224797453295E+01	    0.759208297791128E+00	    0.147409560585922E+01	   -0.332006431690631E-02	    0.136493422019886E+01	    0.564504066540746E-06	    0.563914323067914E-06	    0.447822369657823E-01	    0.783266612940429E+01	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.389790627374847E-04	    0.288927222053220E-04	    0.431930460853747E-04	    0.466474343568362E-04	   -0.607457335285770E+01	    0.112765956930832E-02	    0.295227225892701E-01	   -0.260147153616931E+00	    0.222938688357994E-03	    0.207189816177593E+00
     6	   3	    0.100000000000000E-02	    0.000000000000000E+00	    0.000000000000000E+00	    0.576664002429171E-02	    0.797919763954916E-02	    0.679420584601273E-02	    0.584574203773328E-02	    0.315000600224609E+02	    0.107905143581149E-05	    0.616910356775893E-08	    0.111748622150695E+02	    0.107905143581149E-05	    0.616910356775893E-08	    0.152433806145976E-05	    0.564513195427263E-06	    0.153022585549251E-06	    0.130829931996745E-05	    0.563925462436340E-06	    0.152769418567592E-06	    0.232870014551724E+00	    0.447627916860536E-01	    0.111337805795831E-01	    0.407302530737311E+02	    0.782925975750610E+01	    0.194743530515455E+01	    0.139835333263372E+01	    0.124242648969093E+01	    0.109966149847743E+01	    0.172751381803951E+01	    0.777338517366238E-02	    0.292567020804895E+09	    0.777361281130808E-02	    0.167264966689382E+07	    0.723641250921827E-01	    0.688990300275725E-01	    0.108552211415492E+01	   -0.109919960804578E+00	    0.853870632736922E+00	   -0.602960250587548E+00	    0.115191515199106E+01	    0.759610218785590E+00	    0.147481459399978E+01	   -0.330262588939848E-02	    0.136496634709977E+01	    0.564513195427263E-06	    0.563925462436340E-06	    0.447627916860536E-01	    0.782925975750610E+01	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.389451702574350E-04	    0.288685647656289E-04	    0.431698975790012E-04	    0.466440766882387E-04	   -0.605937116402866E+01	    0.112427913971437E-02	    0.295781856970250E-01	   -0.260421305396150E+00	    0.222882614487872E-03	    0.207110066364128E+00
     5	   9	    0.100000000000000E-02	    0.000000000000000E+00	    0.000000000000000E+00	    0.576664002429171E-02	    0.797919763954916E-02	    0.679420584601273E-02	    0.584574203773328E-02	    0.315000600224609E+02	    0.107905143581149E-05	    0.616910356775893E-08	    0.111748622150695E+02	    0.107905143581149E-05	    0.616910356775893E-08	    0.152433806145976E-05	    0.564513195427263E-06	    0.153022585549251E-06	    0.130829931996745E-05	    0.563925462436340E-06	    0.152769418567592E-06	    0.232870014551724E+00	    0.447627916860536E-01	    0.111337805795831E-01	    0.407302530737311E+02	    0.782925975750610E+01	    0.194743530515455E+01	    0.139835333263372E+01	    0.124242648969093E+01	    0.109966149847743E+01	    0.172751381803951E+01	    0.777338517366238E-02	    0.292567020804895E+09	    0.777361281130808E-02	    0.167264966689382E+07	    0.723641250921827E-01	    0.688990300275725E-01	    0.108552211415492E+01	   -0.109919960804578E+00	    0.853870632736922E+00	   -0.602960250587548E+00	    0.115191515199106E+01	    0.759610218785590E+00	    0.147481459399978E+01	   -0.330262588939848E-02	    0.136496634709977E+01	    0.564513195427263E-06	    0.563925462436340E-06	    0.447627916860536E-01	    0.782925975750610E+01	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.389451702574350E-04	    0.288685647656289E-04	    0.431698975790012E-04	    0.466440766882387E-04	   -0.605937116402866E+01	    0.112427913971437E-02	    0.295781856970250E-01	   -0.260421305396150E+00	    0.222882614487872E-03	    0.207110066364128E+00
     6	   3	    0.150000000000000E-02	    0.000000000000000E+00	    0.000000000000000E+00	    0.576339531296426E-02	    0.797919763954916E-02	    0.679204368232200E-02	    0.584574203773328E-02	    0.315000635946056E+02	    0.107905143581149E-05	    0.616910356775893E-08	    0.111748622150695E+02	    0.107905143581149E-05	    0.616910356775893E-08	    0.152433802332603E-05	    0.564513181305073E-06	    0.153022585549421E-06	    0.130829931938946E-05	    0.563925462187203E-06	    0.152769418558103E-06	    0.232869983979069E+00	    0.447627858093100E-01	    0.111337817795638E-01	    0.407302477263964E+02	    0.782925872962953E+01	    0.194743551504563E+01	    0.139716397097212E+01	    0.124102873254190E+01	    0.109902206721179E+01	    0.172641447750148E+01	    0.777410852779735E-02	    0.292567055627403E+09	    0.777433616562548E-02	    0.167264986597961E+07	    0.723641251179559E-01	    0.688990302395647E-01	    0.108552273983306E+01	   -0.109817935885236E+00	    0.853652397399348E+00	   -0.603426907194294E+00	    0.115150463989670E+01	    0.759988848053364E+00	    0.147555318419515E+01	   -0.330262588939848E-02	    0.136496634709977E+01	    0.564513181305073E-06	    0.563925462187203E-06	    0.447627858093100E-01	    0.782925872962953E+01	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.389113011744513E-04	    0.288463670771471E-04	    0.431482888268203E-04	    0.466440766882387E-04	   -0.604422584094820E+01	    0.112091243099554E-02	    0.296336489943259E-01	   -0.260695663447168E+00	    0.222826575726137E-03	    0.207030320473390E+00
     6	   3	    0.200000000000000E-02	    0.000000000000000E+00	    0.000000000000000E+00	    0.576015166168240E-02	    0.797900432881712E-02	    0.678988226614704E-02	    0.584546233510325E-02	    0.315000675322224E+02	    0.107945006895970E-05	    0.617137722037097E-08	    0.111748622150695E+02	    0.107945006895970E-05	    0.617137722037097E-08	    0.152436262083082E-05	    0.564522290581015E-06	    0.153023103278956E-06	    0.130832518208729E-05	    0.563936609967848E-06	    0.152768457813533E-06	    0.233125576221920E+00	    0.447163995890670E-01	    0.111351531137726E-01	    0.407749173407365E+02	    0.782113883242001E+01	    0.194767538903090E+01	    0.139591630144518E+01	    0.123962802425162E+01	    0.109829920654097E+01	    0.172532671697886E+01	    0.235204117146263E-01	    0.292531098075616E+09	    0.235208435186632E-01	    0.167244428201804E+07	    0.723697490502939E-01	    0.688964769454699E-01	    0.108556326147504E+01	   -0.109715667347454E+00	    0.853434082956317E+00	   -0.603939499840948E+00	    0.115117268653417E+01	    0.760391547560644E+00	    0.147627352200227E+01	   -0.328518234010451E-02	    0.136499851126916E+01	    0.564522290581015E-06	    0.563936609967848E-06	    0.447163995890670E-01	    0.782113883242001E+01	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.388774573551696E-04	    0.288222154275354E-04	    0.431251452596225E-04	    0.466407175932285E-04	   -0.602913702121795E+01	    0.111755936958131E-02	    0.296891136781512E-01	   -0.260970226354006E+00	    0.222770575272679E-03	    0.206950586412532E+00
     5	   9	    0.200000000000000E-02	    0.000000000000000E+00	    0.000000000000000E+00	    0.576015166168240E-02	    0.797900432881712E-02	    0.678988226614704E-02	    0.584546233510325E-02	    0.315000675322224E+02	    0.107945006895970E-05	    0.617137722037097E-08	    0.111748622150695E+02	    0.107945006895970E-05	    0.617137722037097E-08	    0.152436262083082E-05	    0.564522290581015E-06	    0.153023103278956E-06	    0.130832518208729E-05	    0.563936609967848E-06	    0.152768457813533E-06	    0.233125576221920E+00	    0.447163995890670E-01	    0.111351531137726E-01	    0.407749173407365E+02	    0.782113883242001E+01	    0.194767538903090E+01	    0.139591630144518E+01	    0.123962802425162E+01	    0.109829920654097E+01	    0.172532671697886E+01	    0.235204117146263E-01	    0.292531098075616E+09	    0.235208435186632E-01	    0.167244428201804E+07	    0.723697490502939E-01	    0.688964769454699E-01	    0.108556326147504E+01	   -0.109715667347454E+00	    0.853434082956317E+00	   -0.603939499840948E+00	    0.115117268653417E+01	    0.760391547560644E+00	    0.147627352200227E+01	   -0.328518234010451E-02	    0.136499851126916E+01	    0.564522290581015E-06	    0.563936609967848E-06	    0.447163995890670E-01	    0.782113883242001E+01	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.388774573551696E-04	    0.288222154275354E-04	    0.431251452596225E-04	    0.466407175932285E-04	   -0.602913702121795E+01	    0.111755936958131E-02	    0.296891136781512E-01	   -0.260970226354006E+00	    0.222770575272679E-03	    0.206950586412532E+00
     6	   3	    0.250000000000000E-02	    0.000000000000000E+00	    0.000000000000000E+00	    0.575690894751008E-02	    0.797900432881712E-02	    0.678772142021321E-02	    0.584546233510325E-02	    0.315000714699379E+02	    0.107945006895970E-05	    0.617137722037097E-08	    0.111748622150695E+02	    0.107945006895970E-05	    0.617137722037097E-08	    0.152436258298787E-05	    0.564522276566507E-06	    0.153023103279911E-06	    0.130832518170669E-05	    0.563936609803793E-06	    0.152768457803631E-06	    0.233125548371997E+00	    0.447163942471036E-01	    0.111351543162786E-01	    0.407749124696166E+02	    0.782113789807834E+01	    0.194767559936341E+01	    0.139472700144639E+01	    0.123823270407732E+01	    0.109765983244485E+01	    0.172422873870459E+01	    0.235211355049494E-01	    0.292531139621254E+09	    0.235215673091802E-01	    0.167244451954123E+07	    0.723697491138364E-01	    0.688964771565419E-01	    0.108556393317714E+01	   -0.109613156549860E+00	    0.853215693674090E+00	   -0.604407537359229E+00	    0.115076299148954E+01	    0.760770877299441E+00	    0.147701342811927E+01	   -0.328518234010451E-02	    0.136499851126916E+01	    0.564522276566507E-06	    0.563936609803793E-06	    0.447163942471036E-01	    0.782113789807834E+01	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.388436369321884E-04	    0.288000230064949E-04	    0.431035418278819E-04	    0.466407175932285E-04	   -0.601410443426679E+01	    0.111421987618863E-02	    0.297445785505902E-01	   -0.261244995951521E+00	    0.222714610006265E-03	    0.206870856281612E+00
     6	   3	    0.300000000000000E-02	    0.000000000000000E+00	    0.000000000000000E+00	    0.575366729670038E-02	    0.797881098729651E-02	    0.678556132304326E-02	    0.584518246519280E-02	    0.315000757734331E+02	    0.108015744600252E-05	    0.617543500260952E-08	    0.111748622150695E+02	    0.108015744600252E-05	    0.617543500260952E-08	    0.152438712626353E-05	    0.564531365759594E-06	    0.153023624610724E-06	    0.130835106272404E-05	    0.563947765480830E-06	    0.152767494330667E-06	    0.233375407051148E+00	    0.447758884425031E-01	    0.111369480801934E-01	    0.408185820918112E+02	    0.783153761237371E+01	    0.194798936331365E+01	    0.139347936729988E+01	    0.123683441306625E+01	    0.109693701250931E+01	    0.172314235751733E+01	    0.392753249411958E-01	    0.292484103237388E+09	    0.392759631069115E-01	    0.167217559468380E+07	    0.723753687129780E-01	    0.688939235325421E-01	    0.108553068581795E+01	   -0.109510401221275E+00	    0.852997225683101E+00	   -0.604921614517681E+00	    0.115043191096117E+01	    0.761174357390471E+00	    0.147773511916439E+01	   -0.326773382049251E-02	    0.136503071271153E+01	    0.564531365759594E-06	    0.563947765480830E-06	    0.447758884425031E-01	    0.783153761237371E+01	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.388098417724729E-04	    0.287758771690025E-04	    0.430804032098811E-04	    0.466373570778822E-04	   -0.599912772229689E+01	    0.111089387835168E-02	    0.298000448163776E-01	   -0.261519970817454E+00	    0.222658683131759E-03	    0.206791137992737E+00
