 x [cm]	x' [rad]	y [cm]	y' [rad]	Phase [rad]	Kinetic Energy [MeV]	Charge State	Rest Mass [GeV/c2]
   -0.219439163769448E-02	   -0.771334379669639E-05	    0.101424568732417E-02	    0.175233306226629E-04	    0.568142687775754E+00	    0.182623296847595E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.504223426251756E+00	    0.740270559691134E-02	   -0.748602041564086E+00	   -0.141635950987895E-02	   -0.241632216293948E+02	    0.182625308504214E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.542662366956156E+00	    0.688462321763822E-04	   -0.809965875753337E+00	   -0.134464289933230E-01	   -0.221328643248918E+02	    0.182626262178687E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.111729045714523E+01	   -0.795033005051073E-02	   -0.161425009455027E-01	   -0.821065268812437E-02	    0.346484312470988E+01	    0.182631447783521E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.332118731916798E+00	   -0.917348767615613E-02	    0.960593454903787E+00	    0.697539449336271E-02	    0.439449126780913E+02	    0.182624921075458E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.945614277484911E+00	    0.697239126093927E-02	   -0.133743222531999E+00	    0.580561096446853E-02	   -0.303607690469315E+01	    0.182626977434097E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.407685968459500E+00	    0.199526605211440E-02	   -0.705967895695144E+00	   -0.945094897744913E-02	   -0.285160710313526E+02	    0.182628273835306E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.503490275440654E+00	   -0.382360805742201E-02	    0.339094887385940E+00	   -0.347567693663497E-02	    0.306432868787398E+01	    0.182645052545283E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.436890808313238E+00	    0.110415319075460E-01	   -0.986848695025915E+00	   -0.929166394619008E-02	   -0.488236230243814E+02	    0.182634711139329E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.205620810908349E+00	   -0.327687909811493E-02	    0.814302394903129E+00	    0.119075223863337E-01	    0.294416897179160E+02	    0.182628005614305E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.105530473198081E+01	   -0.125218568275100E-01	    0.674992807317389E+00	   -0.131055928634216E-02	    0.342809865285977E+02	    0.182625204196540E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.674296682321382E+00	   -0.126944020295864E-01	    0.102480696606529E+01	    0.501010176392536E-02	    0.514254959836141E+02	    0.182635083666227E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.366390178532256E+00	    0.225114134155456E-02	   -0.695309270926887E+00	   -0.883430074302216E-02	   -0.285280311098397E+02	    0.182630702726172E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.537291326380419E+00	    0.847797990791741E-02	   -0.664899319884503E+00	    0.615355844071911E-03	   -0.293092335808670E+02	    0.182639598719447E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.984982341707600E+00	   -0.851518790222463E-02	    0.275980939428187E+00	   -0.534055539739986E-02	    0.122706248065860E+02	    0.182627573481753E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.521910983516919E+00	   -0.135885122216996E-02	    0.822482172950036E+00	    0.130263751432512E-01	    0.310764404331882E+02	    0.182624935977316E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.395817697786643E+00	   -0.116038009429699E-01	    0.121931834965093E+01	    0.116764146894429E-01	    0.566605682071932E+02	    0.182626142969156E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.842239714966071E+00	   -0.327815431155023E-02	   -0.462008937643046E+00	   -0.982827152458687E-02	   -0.140636449955985E+02	    0.182631924621646E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.112643585578268E+01	    0.112373983582133E-01	   -0.407134047345394E+00	    0.477005523296337E-02	   -0.217079004498487E+02	    0.182624816766008E+00	    0.600000000000000E+01	    0.111748622150701E+02
