 Card Number	Card Type	Length [m]	Alive [%]	x Average [m]	x' Average [rad]	y Average [m]	y' Average [rad]	Phase Average [rad]	Momentum Average [GeV/c]	Kinetic Energy Average [GeV]	Rest Energy Average [GeV]	RF Phase [deg]	Power loss [watt]
     3	  33	    0.000000000000000E+00	    0.100000000000000E+03	   -0.244497098045653E-04	   -0.238448823521067E-03	    0.945323570157476E-04	   -0.844125525774649E-04	    0.702598552946868E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     4	   9	    0.000000000000000E+00	    0.100000000000000E+03	   -0.244497098045653E-04	   -0.238448823521067E-03	    0.945323570157476E-04	   -0.844125525774649E-04	    0.702598552946868E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     5	   3	    0.100000000000000E-02	    0.100000000000000E+03	   -0.246881586280846E-04	   -0.238448823521067E-03	    0.944479444632000E-04	   -0.844125525774649E-04	    0.702730347726480E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     4	   9	    0.100000000000000E-02	    0.100000000000000E+03	   -0.246881586280846E-04	   -0.238448823521067E-03	    0.944479444632000E-04	   -0.844125525774649E-04	    0.702730347726480E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     5	   3	    0.200000000000000E-02	    0.100000000000000E+03	   -0.249266074516059E-04	   -0.238448823521067E-03	    0.943635319106225E-04	   -0.844125525774649E-04	    0.702862142506080E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     4	   9	    0.200000000000000E-02	    0.100000000000000E+03	   -0.249266074516059E-04	   -0.238448823521067E-03	    0.943635319106225E-04	   -0.844125525774649E-04	    0.702862142506080E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     5	   3	    0.300000000000000E-02	    0.100000000000000E+03	   -0.251650562751268E-04	   -0.238448823521067E-03	    0.942791193580443E-04	   -0.844125525774649E-04	    0.702993937285687E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     4	   9	    0.300000000000000E-02	    0.100000000000000E+03	   -0.251650562751268E-04	   -0.238448823521067E-03	    0.942791193580443E-04	   -0.844125525774649E-04	    0.702993937285687E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     5	   3	    0.400000000000000E-02	    0.100000000000000E+03	   -0.254035050986470E-04	   -0.238448823521067E-03	    0.941947068054683E-04	   -0.844125525774649E-04	    0.703125732065289E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     4	   9	    0.400000000000000E-02	    0.100000000000000E+03	   -0.254035050986470E-04	   -0.238448823521067E-03	    0.941947068054683E-04	   -0.844125525774649E-04	    0.703125732065289E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     5	   3	    0.500000000000000E-02	    0.100000000000000E+03	   -0.256419539221691E-04	   -0.238448823521067E-03	    0.941102942528899E-04	   -0.844125525774649E-04	    0.703257526844896E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     4	   9	    0.500000000000000E-02	    0.100000000000000E+03	   -0.256419539221691E-04	   -0.238448823521067E-03	    0.941102942528899E-04	   -0.844125525774649E-04	    0.703257526844896E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     5	   3	    0.600000000000000E-02	    0.100000000000000E+03	   -0.258804027456903E-04	   -0.238448823521067E-03	    0.940258817003124E-04	   -0.844125525774649E-04	    0.703389321624499E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     4	   9	    0.600000000000000E-02	    0.100000000000000E+03	   -0.258804027456903E-04	   -0.238448823521067E-03	    0.940258817003124E-04	   -0.844125525774649E-04	    0.703389321624499E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     5	   3	    0.700000000000000E-02	    0.100000000000000E+03	   -0.261188515692113E-04	   -0.238448823521067E-03	    0.939414691477349E-04	   -0.844125525774649E-04	    0.703521116404103E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     4	   9	    0.700000000000000E-02	    0.100000000000000E+03	   -0.261188515692113E-04	   -0.238448823521067E-03	    0.939414691477349E-04	   -0.844125525774649E-04	    0.703521116404103E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     5	   3	    0.800000000000000E-02	    0.100000000000000E+03	   -0.263573003927299E-04	   -0.238448823521067E-03	    0.938570565951582E-04	   -0.844125525774649E-04	    0.703652911183707E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     4	   9	    0.800000000000000E-02	    0.100000000000000E+03	   -0.263573003927299E-04	   -0.238448823521067E-03	    0.938570565951582E-04	   -0.844125525774649E-04	    0.703652911183707E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     5	   3	    0.900000000000000E-02	    0.100000000000000E+03	   -0.265957492162538E-04	   -0.238448823521067E-03	    0.937726440425794E-04	   -0.844125525774649E-04	    0.703784705963314E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     4	   9	    0.900000000000000E-02	    0.100000000000000E+03	   -0.265957492162538E-04	   -0.238448823521067E-03	    0.937726440425794E-04	   -0.844125525774649E-04	    0.703784705963314E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     5	   3	    0.100000000000000E-01	    0.100000000000000E+03	   -0.268341980397745E-04	   -0.238448823521067E-03	    0.936882314900028E-04	   -0.844125525774649E-04	    0.703916500742920E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     4	   9	    0.100000000000000E-01	    0.100000000000000E+03	   -0.268341980397745E-04	   -0.238448823521067E-03	    0.936882314900028E-04	   -0.844125525774649E-04	    0.703916500742920E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     5	   3	    0.110000000000000E-01	    0.100000000000000E+03	   -0.270726468632959E-04	   -0.238448823521067E-03	    0.936038189374248E-04	   -0.844125525774649E-04	    0.704048295522527E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     4	   9	    0.110000000000000E-01	    0.100000000000000E+03	   -0.270726468632959E-04	   -0.238448823521067E-03	    0.936038189374248E-04	   -0.844125525774649E-04	    0.704048295522527E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     5	   3	    0.120000000000000E-01	    0.100000000000000E+03	   -0.273110956868160E-04	   -0.238448823521067E-03	    0.935194063848476E-04	   -0.844125525774649E-04	    0.704180090302129E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     4	   9	    0.120000000000000E-01	    0.100000000000000E+03	   -0.273110956868160E-04	   -0.238448823521067E-03	    0.935194063848476E-04	   -0.844125525774649E-04	    0.704180090302129E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     5	   3	    0.130000000000000E-01	    0.100000000000000E+03	   -0.275495445103381E-04	   -0.238448823521067E-03	    0.934349938322695E-04	   -0.844125525774649E-04	    0.704311885081731E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
