 Card Number	Card Type	Length [m]	Aperture x [m]	Aperture y [m]	x RMS [m]	x' RMS [rad]	y RMS [m]	y' RMS [rad]	Phase RMS [rad]	Momentum RMS [GeV/c]	Kinetic Energy RMS [GeV]	Rest Energy RMS [GeV]	Momentum Standard Deviation [GeV/c]	Kinetic Energy Standard Deviation [GeV]	(X,BGX') 100%-Emittance [m.rad]	(X,BGX') 90%-Emittance [m.rad]	(X,BGX') RMS-Emittance [m.rad]	(Y,BGY') 100%-Emittance [m.rad]	(Y,BGY') 90%-Emittance [m.rad]	(Y,BGY') RMS-Emittance [m.rad]	(PHI,dE) 100%-Emittance [deg.MeV]	(PHI,dE) 90%-Emittance [deg.MeV]	(PHI,dE) RMS-Emittance [deg.MeV]	(PHI,dP) 100%-Emittance [deg.MeV/c]	(PHI,dP) 90%-Emittance [deg.MeV/c]	(PHI,dP) RMS-Emittance [deg.MeV/c]	(X,X') Alpha [1]	(X,X') Beta [m/rad]	(Y,Y') Alpha [1]	(Y,Y') Beta [m/rad]	(PHI,dE) Alpha [1]	(PHI,dE) Beta [deg/MeV]	(PHI,dP) Alpha [1]	(PHI,dP) Beta [deg.c/MeV]	Halo(X,BGX')	Halo(Y,BGY')	Halo(Z,Z')	(X,Y) Alpha [1]	(X,Y) Beta [1]	(X,Y') Alpha [1]	(X,Y') Beta [m/rad]	(X',Y) Alpha [1]	(X',Y) Beta [rad/m]	(X',Y') Alpha [1]	(X',Y') Beta [1]	(X, BGX') Wanted Emittance [m.rad]	(Y, BGY') Wanted Emittance [m.rad]	(PHI, dE) Wanted Emittance [deg.MeV]	(PHI, dP) Wanted Emittance [deg.MeV/c]	 x beam size in wanted emittance [m]	 x' beam size in wanted emittance [rad]	 y beam size in wanted emittance [m]	 y' beam size in wanted emittance [rad]	 Phase beam size in wanted emittance [rad]	 Energy beam size in wanted emittance [GeV]	(X,Y) RMS-Emitt [m2]	(X,Y') RMS-Emitt [m2.rad2]	(X',Y) RMS-Emitt [m2.rad2]	(X',Y') RMS-Emitt [rad2]	(X,PH) Alpha [1]	(X,PH) Beta [m/deg]	(X,PH)RMS-Emittance [m.deg]	(Y,PH) Alpha [1]	(Y,PH) Beta [m/deg]	(Y,PH)RMS-Emittance [m.deg]
     2	  34	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.577313237157510E-02	    0.797939091899411E-02	    0.679853205798449E-02	    0.584602157269784E-02	    0.315000532435334E+02	    0.107896109526015E-05	    0.616856506126473E-08	    0.111748622150695E+02	    0.107896109526015E-05	    0.616856506126473E-08	    0.152431344942464E-05	    0.564504080770257E-06	    0.153022071411188E-06	    0.130827347756088E-05	    0.563914323401984E-06	    0.152770376600386E-06	    0.232608761887132E+00	    0.447822433754879E-01	    0.111328294151787E-01	    0.406845859894871E+02	    0.783266725049777E+01	    0.194726892661906E+01	    0.140079046086154E+01	    0.124522980954731E+01	    0.110102388815979E+01	    0.172970366087007E+01	   -0.796394686764611E-02	    0.292591891152508E+09	   -0.796392643600716E-02	    0.167279186143077E+07	    0.723584969199944E-01	    0.689015827648958E-01	    0.108540748976414E+01	   -0.110123285206284E+00	    0.854306873461802E+00	   -0.601983855045538E+00	    0.115265930013550E+01	    0.758830367291315E+00	    0.147335832846259E+01	   -0.332006431690631E-02	    0.136493422019886E+01	    0.564504080770257E-06	    0.563914323401984E-06	    0.447822433754879E-01	    0.783266725049777E+01	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.390129804816776E-04	    0.289149251438046E-04	    0.432146601462283E-04	    0.466474343568362E-04	   -0.608983268285162E+01	    0.113105380023724E-02	    0.294672608612760E-01	   -0.259873206281892E+00	    0.222994800452968E-03	    0.207269577808794E+00
     4	   9	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.577313237157510E-02	    0.797939091899411E-02	    0.679853205798449E-02	    0.584602157269784E-02	    0.315000532435334E+02	    0.107896109526015E-05	    0.616856506126473E-08	    0.111748622150695E+02	    0.107896109526015E-05	    0.616856506126473E-08	    0.152431344942464E-05	    0.564504080770257E-06	    0.153022071411188E-06	    0.130827347756088E-05	    0.563914323401984E-06	    0.152770376600386E-06	    0.232608761887132E+00	    0.447822433754879E-01	    0.111328294151787E-01	    0.406845859894871E+02	    0.783266725049777E+01	    0.194726892661906E+01	    0.140079046086154E+01	    0.124522980954731E+01	    0.110102388815979E+01	    0.172970366087007E+01	   -0.796394686764611E-02	    0.292591891152508E+09	   -0.796392643600716E-02	    0.167279186143077E+07	    0.723584969199944E-01	    0.689015827648958E-01	    0.108540748976414E+01	   -0.110123285206284E+00	    0.854306873461802E+00	   -0.601983855045538E+00	    0.115265930013550E+01	    0.758830367291315E+00	    0.147335832846259E+01	   -0.332006431690631E-02	    0.136493422019886E+01	    0.564504080770257E-06	    0.563914323401984E-06	    0.447822433754879E-01	    0.783266725049777E+01	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.390129804816776E-04	    0.289149251438046E-04	    0.432146601462283E-04	    0.466474343568362E-04	   -0.608983268285162E+01	    0.113105380023724E-02	    0.294672608612760E-01	   -0.259873206281892E+00	    0.222994800452968E-03	    0.207269577808794E+00
     5	   3	    0.100000000000000E-02	    0.000000000000000E+00	    0.000000000000000E+00	    0.576663989991243E-02	    0.797939091899411E-02	    0.679420566836733E-02	    0.584602157269784E-02	    0.315000596573954E+02	    0.107896109526015E-05	    0.616856506126473E-08	    0.111748622150695E+02	    0.107896109526015E-05	    0.616856506126473E-08	    0.152431337257758E-05	    0.564504052311232E-06	    0.153022071409958E-06	    0.130827347601081E-05	    0.563914322733846E-06	    0.152770376582246E-06	    0.232608695300852E+00	    0.447822305561814E-01	    0.111328318102208E-01	    0.406845743431730E+02	    0.783266500832914E+01	    0.194726934554136E+01	    0.139841161428372E+01	    0.124243061052785E+01	    0.109974491133543E+01	    0.172750289455843E+01	   -0.796250025688626E-02	    0.292591947358054E+09	   -0.796247982488718E-02	    0.167279218276638E+07	    0.723584968967352E-01	    0.689015831904771E-01	    0.108540864908729E+01	   -0.109919962595530E+00	    0.853870636811894E+00	   -0.602915096622920E+00	    0.115183704844959E+01	    0.759586575406113E+00	    0.147483356070599E+01	   -0.332006431690631E-02	    0.136493422019886E+01	    0.564504052311232E-06	    0.563914322733846E-06	    0.447822305561814E-01	    0.783266500832914E+01	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.389451683915767E-04	    0.288705210342236E-04	    0.431714338041283E-04	    0.466474343568362E-04	   -0.605937120815106E+01	    0.112427913646432E-02	    0.295781845065997E-01	   -0.260421307022455E+00	    0.222882611331716E-03	    0.207110058466485E+00
     4	   9	    0.100000000000000E-02	    0.000000000000000E+00	    0.000000000000000E+00	    0.576663989991243E-02	    0.797939091899411E-02	    0.679420566836733E-02	    0.584602157269784E-02	    0.315000596573954E+02	    0.107896109526015E-05	    0.616856506126473E-08	    0.111748622150695E+02	    0.107896109526015E-05	    0.616856506126473E-08	    0.152431337257758E-05	    0.564504052311232E-06	    0.153022071409958E-06	    0.130827347601081E-05	    0.563914322733846E-06	    0.152770376582246E-06	    0.232608695300852E+00	    0.447822305561814E-01	    0.111328318102208E-01	    0.406845743431730E+02	    0.783266500832914E+01	    0.194726934554136E+01	    0.139841161428372E+01	    0.124243061052785E+01	    0.109974491133543E+01	    0.172750289455843E+01	   -0.796250025688626E-02	    0.292591947358054E+09	   -0.796247982488718E-02	    0.167279218276638E+07	    0.723584968967352E-01	    0.689015831904771E-01	    0.108540864908729E+01	   -0.109919962595530E+00	    0.853870636811894E+00	   -0.602915096622920E+00	    0.115183704844959E+01	    0.759586575406113E+00	    0.147483356070599E+01	   -0.332006431690631E-02	    0.136493422019886E+01	    0.564504052311232E-06	    0.563914322733846E-06	    0.447822305561814E-01	    0.783266500832914E+01	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.389451683915767E-04	    0.288705210342236E-04	    0.431714338041283E-04	    0.466474343568362E-04	   -0.605937120815106E+01	    0.112427913646432E-02	    0.295781845065997E-01	   -0.260421307022455E+00	    0.222882611331716E-03	    0.207110058466485E+00
     5	   3	    0.200000000000000E-02	    0.000000000000000E+00	    0.000000000000000E+00	    0.576015116400210E-02	    0.797939091899411E-02	    0.678988155542076E-02	    0.584602157269784E-02	    0.315000660716524E+02	    0.107896109526015E-05	    0.616856506126473E-08	    0.111748622150695E+02	    0.107896109526015E-05	    0.616856506126473E-08	    0.152431329573054E-05	    0.564504023852210E-06	    0.153022071408732E-06	    0.130827347446075E-05	    0.563914322065711E-06	    0.152770376564106E-06	    0.232608628716747E+00	    0.447822177372938E-01	    0.111328342053792E-01	    0.406845626972394E+02	    0.783266276623375E+01	    0.194726976448401E+01	    0.139603276770582E+01	    0.123963616919631E+01	    0.109846593451077E+01	    0.172530468619731E+01	   -0.796105364666580E-02	    0.292592003567882E+09	   -0.796103321430634E-02	    0.167279250412646E+07	    0.723584968732349E-01	    0.689015836163769E-01	    0.108540980867857E+01	   -0.109715674524339E+00	    0.853434099215784E+00	   -0.603849058757816E+00	    0.115101639818286E+01	    0.760344173693029E+00	    0.147631150609197E+01	   -0.332006431690631E-02	    0.136493422019886E+01	    0.564504023852210E-06	    0.563914322065711E-06	    0.447822177372938E-01	    0.783266276623375E+01	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.388774498964162E-04	    0.288261240105143E-04	    0.431282145911550E-04	    0.466474343568362E-04	   -0.602913719474937E+01	    0.111755935614621E-02	    0.296891089047567E-01	   -0.260970232912677E+00	    0.222770562640555E-03	    0.206950554822768E+00
     4	   9	    0.200000000000000E-02	    0.000000000000000E+00	    0.000000000000000E+00	    0.576015116400210E-02	    0.797939091899411E-02	    0.678988155542076E-02	    0.584602157269784E-02	    0.315000660716524E+02	    0.107896109526015E-05	    0.616856506126473E-08	    0.111748622150695E+02	    0.107896109526015E-05	    0.616856506126473E-08	    0.152431329573054E-05	    0.564504023852210E-06	    0.153022071408732E-06	    0.130827347446075E-05	    0.563914322065711E-06	    0.152770376564106E-06	    0.232608628716747E+00	    0.447822177372938E-01	    0.111328342053792E-01	    0.406845626972394E+02	    0.783266276623375E+01	    0.194726976448401E+01	    0.139603276770582E+01	    0.123963616919631E+01	    0.109846593451077E+01	    0.172530468619731E+01	   -0.796105364666580E-02	    0.292592003567882E+09	   -0.796103321430634E-02	    0.167279250412646E+07	    0.723584968732349E-01	    0.689015836163769E-01	    0.108540980867857E+01	   -0.109715674524339E+00	    0.853434099215784E+00	   -0.603849058757816E+00	    0.115101639818286E+01	    0.760344173693029E+00	    0.147631150609197E+01	   -0.332006431690631E-02	    0.136493422019886E+01	    0.564504023852210E-06	    0.563914322065711E-06	    0.447822177372938E-01	    0.783266276623375E+01	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.388774498964162E-04	    0.288261240105143E-04	    0.431282145911550E-04	    0.466474343568362E-04	   -0.602913719474937E+01	    0.111755935614621E-02	    0.296891089047567E-01	   -0.260970232912677E+00	    0.222770562640555E-03	    0.206950554822768E+00
     5	   3	    0.300000000000000E-02	    0.000000000000000E+00	    0.000000000000000E+00	    0.575366617648315E-02	    0.797939091899411E-02	    0.678555972349720E-02	    0.584602157269784E-02	    0.315000724863048E+02	    0.107896109526015E-05	    0.616856506126473E-08	    0.111748622150695E+02	    0.107896109526015E-05	    0.616856506126473E-08	    0.152431321888350E-05	    0.564503995393191E-06	    0.153022071407501E-06	    0.130827347291068E-05	    0.563914321397572E-06	    0.152770376545963E-06	    0.232608562134820E+00	    0.447822049188253E-01	    0.111328366006541E-01	    0.406845510516867E+02	    0.783362537522476E+01	    0.194727018344702E+01	    0.139365392112792E+01	    0.123684648555275E+01	    0.109718695768584E+01	    0.172310903578673E+01	   -0.795960703698454E-02	    0.292592059781994E+09	   -0.795958660426468E-02	    0.167279282551104E+07	    0.723584968498536E-01	    0.689015840421026E-01	    0.108541096853802E+01	   -0.109510417406678E+00	    0.852997262177012E+00	   -0.604785752661136E+00	    0.115019735604180E+01	    0.761103165580514E+00	    0.147779217131580E+01	   -0.332006431690631E-02	    0.136493422019886E+01	    0.564503995393191E-06	    0.563914321397572E-06	    0.447822049188253E-01	    0.783362537522476E+01	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.388098249998092E-04	    0.287817341054669E-04	    0.430850025287620E-04	    0.466474343568362E-04	   -0.599912810670162E+01	    0.111089384724807E-02	    0.298000340468298E-01	   -0.261519985690733E+00	    0.222658654690628E-03	    0.206791066914164E+00
     4	   9	    0.300000000000000E-02	    0.000000000000000E+00	    0.000000000000000E+00	    0.575366617648315E-02	    0.797939091899411E-02	    0.678555972349720E-02	    0.584602157269784E-02	    0.315000724863048E+02	    0.107896109526015E-05	    0.616856506126473E-08	    0.111748622150695E+02	    0.107896109526015E-05	    0.616856506126473E-08	    0.152431321888350E-05	    0.564503995393191E-06	    0.153022071407501E-06	    0.130827347291068E-05	    0.563914321397572E-06	    0.152770376545963E-06	    0.232608562134820E+00	    0.447822049188253E-01	    0.111328366006541E-01	    0.406845510516867E+02	    0.783362537522476E+01	    0.194727018344702E+01	    0.139365392112792E+01	    0.123684648555275E+01	    0.109718695768584E+01	    0.172310903578673E+01	   -0.795960703698454E-02	    0.292592059781994E+09	   -0.795958660426468E-02	    0.167279282551104E+07	    0.723584968498536E-01	    0.689015840421026E-01	    0.108541096853802E+01	   -0.109510417406678E+00	    0.852997262177012E+00	   -0.604785752661136E+00	    0.115019735604180E+01	    0.761103165580514E+00	    0.147779217131580E+01	   -0.332006431690631E-02	    0.136493422019886E+01	    0.564503995393191E-06	    0.563914321397572E-06	    0.447822049188253E-01	    0.783362537522476E+01	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.388098249998092E-04	    0.287817341054669E-04	    0.430850025287620E-04	    0.466474343568362E-04	   -0.599912810670162E+01	    0.111089384724807E-02	    0.298000340468298E-01	   -0.261519985690733E+00	    0.222658654690628E-03	    0.206791066914164E+00
     5	   3	    0.400000000000000E-02	    0.000000000000000E+00	    0.000000000000000E+00	    0.574718495004436E-02	    0.797939091899411E-02	    0.678124017695795E-02	    0.584602157269784E-02	    0.315000789013522E+02	    0.107896109526015E-05	    0.616856506126473E-08	    0.111748622150695E+02	    0.107896109526015E-05	    0.616856506126473E-08	    0.152431314203647E-05	    0.564503966934174E-06	    0.153022071406273E-06	    0.130827347136061E-05	    0.563914320729438E-06	    0.152770376527822E-06	    0.232608495555067E+00	    0.447821921007756E-01	    0.111328389960452E-01	    0.406845394065143E+02	    0.783362313299975E+01	    0.194727060243037E+01	    0.139127507454997E+01	    0.123406155959711E+01	    0.109590798086058E+01	    0.172091594332666E+01	   -0.795816042784257E-02	    0.292592116000387E+09	   -0.795813999476247E-02	    0.167279314692010E+07	    0.723584968264466E-01	    0.689015844677092E-01	    0.108541212866560E+01	   -0.109304187645520E+00	    0.852560127213653E+00	   -0.605725189600536E+00	    0.114937992876777E+01	    0.761863554506396E+00	    0.147927556309109E+01	   -0.332006431690631E-02	    0.136493422019886E+01	    0.564503966934174E-06	    0.563914320729438E-06	    0.447821921007756E-01	    0.783362313299975E+01	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.387422937053905E-04	    0.287373513520699E-04	    0.430417976384869E-04	    0.466474343568362E-04	   -0.596934144559658E+01	    0.110428200679506E-02	    0.299109599239776E-01	   -0.262070567099274E+00	    0.222546887793949E-03	    0.206631594777300E+00
     4	   9	    0.400000000000000E-02	    0.000000000000000E+00	    0.000000000000000E+00	    0.574718495004436E-02	    0.797939091899411E-02	    0.678124017695795E-02	    0.584602157269784E-02	    0.315000789013522E+02	    0.107896109526015E-05	    0.616856506126473E-08	    0.111748622150695E+02	    0.107896109526015E-05	    0.616856506126473E-08	    0.152431314203647E-05	    0.564503966934174E-06	    0.153022071406273E-06	    0.130827347136061E-05	    0.563914320729438E-06	    0.152770376527822E-06	    0.232608495555067E+00	    0.447821921007756E-01	    0.111328389960452E-01	    0.406845394065143E+02	    0.783362313299975E+01	    0.194727060243037E+01	    0.139127507454997E+01	    0.123406155959711E+01	    0.109590798086058E+01	    0.172091594332666E+01	   -0.795816042784257E-02	    0.292592116000387E+09	   -0.795813999476247E-02	    0.167279314692010E+07	    0.723584968264466E-01	    0.689015844677092E-01	    0.108541212866560E+01	   -0.109304187645520E+00	    0.852560127213653E+00	   -0.605725189600536E+00	    0.114937992876777E+01	    0.761863554506396E+00	    0.147927556309109E+01	   -0.332006431690631E-02	    0.136493422019886E+01	    0.564503966934174E-06	    0.563914320729438E-06	    0.447821921007756E-01	    0.783362313299975E+01	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.000000000000000E+00	    0.387422937053905E-04	    0.287373513520699E-04	    0.430417976384869E-04	    0.466474343568362E-04	   -0.596934144559658E+01	    0.110428200679506E-02	    0.299109599239776E-01	   -0.262070567099274E+00	    0.222546887793949E-03	    0.206631594777300E+00
